Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;319,4;22,2;
2020-02-29;21;189;21,8;
2020-03-31;17;288;21,6;
2020-04-30;14;179,8;21,3;
2020-05-31;4;29,2;19,2;
2020-06-30;0;0;19,2;
2020-07-31;0;0;19,3;
2020-08-31;0;0;20,4;
2020-09-30;2;29,8;23,6;
2020-10-31;12;165,6;23,7;
2020-11-30;19;229,6;21,6;
2020-12-31;16;154,6;22,4;
2021-01-31;13;261,6;22,3;
2021-02-28;24;536,2;20,9;
2021-03-31;9;164;21,7;
2021-04-30;12;121,8;20,7;
2021-05-31;1;4;19,9;
2021-06-30;1;29,6;19,3;
2021-07-31;0;0;18,4;
2021-08-31;1;2,8;20,9;
2021-09-30;3;12,6;24,9;
2021-10-31;12;148,2;23,2;
2021-11-30;22;349,8;21,3;
2021-12-31;25;387,4;21,2;
2022-01-31;16;138;21,5;
2022-02-28;21;236,6;21,3;
2022-03-31;11;121,6;22,2;
2022-04-30;3;23,4;22,3;
2022-05-31;1;14,6;19,6;
2022-06-30;0;0;19,5;
2022-07-31;0;0;19,4;
2022-08-31;0;0;21,1;
2022-09-30;4;40,4;22,9;
2022-10-31;6;21,4;23,7;
2022-11-30;21;442,4;20,7;
2022-12-31;22;322,6;20,8;
2023-01-31;23;191,4;21;
2023-02-28;10;55;22,7;
2023-03-31;16;135,2;21,6;
2023-04-30;14;160,6;21;
2023-05-31;2;28,4;20;
2023-06-30;3;2,2;19,3;
2023-07-31;0;0;19,7;
2023-08-31;4;21;21,8;
2023-09-30;4;46,6;24,4;
2023-10-31;13;102,4;24,5;
2023-11-30;13;128;24,3;
2023-12-31;16;125,8;23,3;
2024-01-31;21;318,4;22,1;
2024-02-29;15;106,8;22,2;
2024-03-31;18;117,4;22,8;
2024-04-30;10;130,4;22,6;
2024-05-31;0;0;21,3;
2024-06-30;0;0;19,6;
2024-07-31;0;0;19,8;
2024-08-31;0;0;21,3;
2024-09-30;0;0;25;
2024-10-31;null;null;null;

