Nome: GOIANIA
Codigo Estacao: A002
Latitude: -16.64277777
Longitude: -49.22027777
Altitude: 727.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;343,4;24,7;
2020-02-29;24;442,2;24,2;
2020-03-31;14;120;24,5;
2020-04-30;12;null;23,8;
2020-05-31;3;9,4;21;
2020-06-30;0;0;21,5;
2020-07-31;0;0;21,8;
2020-08-31;0;0;23,1;
2020-09-30;1;1;26,8;
2020-10-31;9;95;26,5;
2020-11-30;13;181,8;25;
2020-12-31;14;196,2;25,1;
2021-01-31;16;237,2;24,7;
2021-02-28;22;483,4;23,7;
2021-03-31;19;213;23,5;
2021-04-30;6;131;23,2;
2021-05-31;0;0;22,2;
2021-06-30;1;,2;21,1;
2021-07-31;0;0;20,1;
2021-08-31;1;9,4;23,7;
2021-09-30;3;3;27,3;
2021-10-31;10;null;26,1;
2021-11-30;25;250;24;
2021-12-31;25;200,2;24,2;
2022-01-31;null;null;24;
2022-02-28;null;null;24,1;
2022-03-31;10;null;24,7;
2022-04-30;5;14,2;24,6;
2022-05-31;1;3,6;21,4;
2022-06-30;1;3,4;21,5;
2022-07-31;0;0;21,6;
2022-08-31;0;0;23,5;
2022-09-30;5;29,4;26;
2022-10-31;13;101,4;25,5;
2022-11-30;16;136,4;23,7;
2022-12-31;24;443,2;23,5;
2023-01-31;29;358;23,3;
2023-02-28;19;173;24,7;
2023-03-31;20;151,2;23,9;
2023-04-30;16;151,4;23,6;
2023-05-31;3;1,2;21,9;
2023-06-30;1;12,6;21;
2023-07-31;0;0;21,7;
2023-08-31;5;18,6;24;
2023-09-30;12;37,4;27;
2023-10-31;17;77,6;27,6;
2023-11-30;13;169,2;27;
2023-12-31;20;219,6;25,9;
2024-01-31;19;123,6;25,1;
2024-02-29;21;290;24,7;
2024-03-31;23;247,6;25,1;
2024-04-30;13;154,2;25,3;
2024-05-31;1;,2;23,2;
2024-06-30;0;0;22,1;
2024-07-31;0;0;21,7;
2024-08-31;0;0;23,3;
2024-09-30;null;null;27,1;
2024-10-31;null;null;null;

