Nome: SAO SIMAO
Codigo Estacao: A011
Latitude: -18.96916666
Longitude: -50.63333333
Altitude: 492.45
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;145,2;26,2;
2020-02-29;8;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;8;null;25,3;
2021-11-30;13;null;26,7;
2021-12-31;15;154,4;26;
2022-01-31;17;261,6;25,3;
2022-02-28;12;null;26;
2022-03-31;12;113,8;26,3;
2022-04-30;5;20,4;25,6;
2022-05-31;4;20,8;21,6;
2022-06-30;5;27,4;21,6;
2022-07-31;0;0;23,4;
2022-08-31;1;18;23,4;
2022-09-30;8;62,6;25,1;
2022-10-31;9;null;26,1;
2022-11-30;9;null;24,8;
2022-12-31;18;null;25,1;
2023-01-31;18;null;24,3;
2023-02-28;16;null;25,1;
2023-03-31;10;null;25,6;
2023-04-30;15;90,4;24,5;
2023-05-31;2;34,6;22,6;
2023-06-30;5;24,6;20,6;
2023-07-31;1;11,6;22,8;
2023-08-31;5;8,8;24,8;
2023-09-30;5;73;28,1;
2023-10-31;9;null;null;
2023-11-30;1;null;null;
2023-12-31;3;null;28,7;
2024-01-31;14;null;26,1;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

