Nome: ITAPACI
Codigo Estacao: A015
Latitude: -14.97972221
Longitude: -49.53944444
Altitude: 551
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;461,2;24,8;
2020-02-29;17;336,4;24,7;
2020-03-31;20;301,6;24,5;
2020-04-30;14;199,8;24,2;
2020-05-31;11;65,6;21,9;
2020-06-30;1;,2;21,1;
2020-07-31;0;0;20,6;
2020-08-31;0;0;22,7;
2020-09-30;2;25,6;25,2;
2020-10-31;10;97,2;26,2;
2020-11-30;15;194,8;24,9;
2020-12-31;15;184,8;25;
2021-01-31;17;181,8;25,2;
2021-02-28;25;277,4;23,8;
2021-03-31;null;null;23,8;
2021-04-30;6;35,4;23,6;
2021-05-31;1;,2;22,5;
2021-06-30;2;4,6;21,2;
2021-07-31;0;0;20,3;
2021-08-31;0;0;23,2;
2021-09-30;2;3,6;26,3;
2021-10-31;null;null;26,1;
2021-11-30;null;null;24,5;
2021-12-31;null;null;24,3;
2022-01-31;null;null;24,1;
2022-02-28;null;null;24,3;
2022-03-31;null;null;24,6;
2022-04-30;null;null;24,6;
2022-05-31;null;null;21,5;
2022-06-30;null;null;21,4;
2022-07-31;null;null;20,2;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;7;null;25,4;
2022-11-30;22;82,2;24,2;
2022-12-31;null;null;23,4;
2023-01-31;null;null;23,7;
2023-02-28;null;null;24,8;
2023-03-31;null;null;23,8;
2023-04-30;null;null;24,3;
2023-05-31;null;null;22,3;
2023-06-30;1;null;21,7;
2023-07-31;0;0;21,7;
2023-08-31;3;4;23,8;
2023-09-30;null;null;27,4;
2023-10-31;null;null;27,6;
2023-11-30;null;null;26,8;
2023-12-31;null;null;26,5;
2024-01-31;null;null;24,9;
2024-02-29;null;null;24,8;
2024-03-31;12;null;25,2;
2024-04-30;10;108,8;25,2;
2024-05-31;0;0;23,3;
2024-06-30;0;0;21,2;
2024-07-31;0;0;20,8;
2024-08-31;0;0;22,9;
2024-09-30;1;null;null;
2024-10-31;1;null;null;

