Nome: JATAI
Codigo Estacao: A016
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 670.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;198;24,8;
2020-02-29;24;264,6;24,2;
2020-03-31;15;103,2;24,4;
2020-04-30;11;70,8;22,9;
2020-05-31;12;43,6;19;
2020-06-30;3;6,6;20,7;
2020-07-31;0;0;20,7;
2020-08-31;0;0;22;
2020-09-30;3;23,6;26,4;
2020-10-31;15;205;26,1;
2020-11-30;11;80,2;24,9;
2020-12-31;25;308;24,4;
2021-01-31;23;306,6;23,8;
2021-02-28;13;83,4;24,2;
2021-03-31;23;165,4;23,3;
2021-04-30;6;77;22,2;
2021-05-31;5;17,8;20,7;
2021-06-30;6;20,6;19,3;
2021-07-31;null;0;18,4;
2021-08-31;1;1,4;22,6;
2021-09-30;7;38,8;26,3;
2021-10-31;19;166,4;24,5;
2021-11-30;16;267,8;24,5;
2021-12-31;13;121,4;24,4;
2022-01-31;22;120,4;23,8;
2022-02-28;19;106,4;24,2;
2022-03-31;18;210,8;24,2;
2022-04-30;6;47,2;22,8;
2022-05-31;1;,4;19,3;
2022-06-30;5;34,4;19,8;
2022-07-31;0;0;20,8;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;17;102,4;24,2;
2022-11-30;11;80,2;23,2;
2022-12-31;20;191,2;23,8;
2023-01-31;21;250,4;23,4;
2023-02-28;22;258;23,5;
2023-03-31;22;280,4;23,6;
2023-04-30;15;183,6;22,8;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;1;null;null;
2023-10-31;17;126,6;26,3;
2023-11-30;13;126,6;25,7;
2023-12-31;14;182,4;25,6;
2024-01-31;18;228;24,9;
2024-02-29;20;286,8;24,5;
2024-03-31;19;285,6;24,7;
2024-04-30;14;324,8;24,1;
2024-05-31;4;1,2;21,6;
2024-06-30;0;0;20,7;
2024-07-31;0;0;20,3;
2024-08-31;0;0;21,6;
2024-09-30;1;3;26,5;
2024-10-31;null;null;null;

