Nome: GURUPI
Codigo Estacao: A019
Latitude: -11.74499999
Longitude: -49.05166666
Altitude: 274
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;321,2;26,2;
2020-02-29;18;267,4;26;
2020-03-31;20;250,6;25,6;
2020-04-30;13;null;26,6;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;1;null;null;
2020-12-31;7;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;2;null;29;
2021-10-31;17;183,4;27,3;
2021-11-30;24;239,4;25,6;
2021-12-31;25;351,2;25,3;
2022-01-31;25;406,6;25,3;
2022-02-28;19;207,4;25,5;
2022-03-31;23;235,8;25,4;
2022-04-30;13;148,4;26,3;
2022-05-31;1;,2;24,9;
2022-06-30;0;0;24,5;
2022-07-31;0;0;24;
2022-08-31;0;0;26,1;
2022-09-30;6;62,2;27,2;
2022-10-31;5;20;27,9;
2022-11-30;16;414;25,3;
2022-12-31;22;328;24,7;
2023-01-31;22;214,6;24,7;
2023-02-28;18;124,8;25,9;
2023-03-31;24;281,4;25;
2023-04-30;12;91,2;25,6;
2023-05-31;6;12,8;25,3;
2023-06-30;0;0;24,4;
2023-07-31;0;0;23,9;
2023-08-31;3;4,2;26;
2023-09-30;2;2,6;28,5;
2023-10-31;10;68,6;29,1;
2023-11-30;11;87;27,9;
2023-12-31;13;193,8;27,1;
2024-01-31;24;372,2;25,7;
2024-02-29;20;211,4;25,8;
2024-03-31;19;166,6;26,7;
2024-04-30;16;132;26,6;
2024-05-31;0;0;25,6;
2024-06-30;0;0;23,8;
2024-07-31;0;0;23,4;
2024-08-31;0;0;25,3;
2024-09-30;0;0;27,5;
2024-10-31;null;null;null;

