Nome: CAIAPONIA
Codigo Estacao: A023
Latitude: -16.96694443
Longitude: -51.81749999
Altitude: 740.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;92;24,5;
2020-02-29;null;null;23,9;
2020-03-31;null;null;24,4;
2020-04-30;null;null;23,8;
2020-05-31;null;null;20,9;
2020-06-30;null;0;22;
2020-07-31;0;0;22,1;
2020-08-31;0;0;23,6;
2020-09-30;3;59,6;26,9;
2020-10-31;8;22,2;26,4;
2020-11-30;null;null;25,4;
2020-12-31;6;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;6;null;null;
2021-11-30;23;280,8;24;
2021-12-31;20;242;23,9;
2022-01-31;24;354;23,5;
2022-02-28;25;198,2;23,6;
2022-03-31;20;239,4;24,2;
2022-04-30;2;20,6;24,3;
2022-05-31;1;6;21;
2022-06-30;3;4,6;21,8;
2022-07-31;0;0;22,3;
2022-08-31;1;3,2;23,2;
2022-09-30;null;null;25,5;
2022-10-31;null;null;25,1;
2022-11-30;null;null;23,8;
2022-12-31;null;null;23,3;
2023-01-31;null;null;22,7;
2023-02-28;null;null;24,3;
2023-03-31;null;null;23,8;
2023-04-30;null;null;23,6;
2023-05-31;null;null;22,5;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;15;103,2;27,2;
2023-11-30;10;null;26,5;
2023-12-31;13;101,8;26,2;
2024-01-31;15;192,8;24,9;
2024-02-29;20;187;24,6;
2024-03-31;23;191,4;24,8;
2024-04-30;13;206,4;24,8;
2024-05-31;0;0;23,6;
2024-06-30;0;0;22,3;
2024-07-31;0;0;22,6;
2024-08-31;0;0;23,6;
2024-09-30;2;13,8;27,5;
2024-10-31;1;null;null;

