Nome: RIO VERDE
Codigo Estacao: A025
Latitude: -17.78527777
Longitude: -50.965
Altitude: 780.11
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;2;null;20;
2021-07-31;null;null;null;
2021-08-31;1;null;null;
2021-09-30;2;null;null;
2021-10-31;7;null;null;
2021-11-30;21;259,2;23,7;
2021-12-31;16;203,2;23,6;
2022-01-31;19;253,8;23,2;
2022-02-28;20;246,8;23,5;
2022-03-31;12;303;24;
2022-04-30;5;53,8;23,2;
2022-05-31;3;1;20,2;
2022-06-30;7;21,8;20,4;
2022-07-31;0;0;22;
2022-08-31;2;4,4;22,4;
2022-09-30;9;89;24,2;
2022-10-31;16;112,6;23,9;
2022-11-30;13;58,6;22,8;
2022-12-31;26;181,6;23,1;
2023-01-31;26;246,4;22,7;
2023-02-28;21;431,6;22,9;
2023-03-31;19;215,8;23,1;
2023-04-30;15;147,8;22,6;
2023-05-31;1;10,2;20,9;
2023-06-30;8;14,2;19,7;
2023-07-31;1;1,2;21,7;
2023-08-31;2;39;23,7;
2023-09-30;6;59,6;26;
2023-10-31;16;142,8;26,1;
2023-11-30;15;183,2;25,5;
2023-12-31;13;170;25,5;
2024-01-31;18;193,2;24,3;
2024-02-29;22;219,8;24,2;
2024-03-31;20;354,6;24,3;
2024-04-30;11;181,2;24,1;
2024-05-31;4;1,4;22,4;
2024-06-30;null;null;21,8;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

