Nome: PARAUNA
Codigo Estacao: A027
Latitude: -16.9625
Longitude: -50.42555554
Altitude: 678.74
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;21;291,6;25,2;
2020-02-29;20;363;24,4;
2020-03-31;16;168,4;24,7;
2020-04-30;11;173,2;23,8;
2020-05-31;3;7,6;21,1;
2020-06-30;0;0;22,7;
2020-07-31;0;0;23;
2020-08-31;0;0;24,1;
2020-09-30;3;28,4;27,8;
2020-10-31;10;49,6;27,4;
2020-11-30;12;182,2;25,9;
2020-12-31;17;272,6;25,2;
2021-01-31;18;159,6;24,8;
2021-02-28;23;446,8;24,1;
2021-03-31;14;198,8;24;
2021-04-30;8;34,4;23,9;
2021-05-31;1;23;23;
2021-06-30;1;6;22,1;
2021-07-31;0;0;20,9;
2021-08-31;0;0;24,8;
2021-09-30;2;19,2;28,7;
2021-10-31;13;94,4;26,1;
2021-11-30;24;346,2;25;
2021-12-31;18;110,8;25,7;
2022-01-31;21;261,2;24,9;
2022-02-28;14;124,2;25;
2022-03-31;17;194,8;25,3;
2022-04-30;3;67,2;25,1;
2022-05-31;3;24,4;22;
2022-06-30;1;,2;22,7;
2022-07-31;1;,8;23,6;
2022-08-31;0;0;24,7;
2022-09-30;null;null;27,1;
2022-10-31;3;null;null;
2022-11-30;1;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;2;null;null;
2023-10-31;11;54;28;
2023-11-30;14;197,2;27;
2023-12-31;11;50,8;26,5;
2024-01-31;null;null;25,5;
2024-02-29;null;null;25,3;
2024-03-31;null;null;25,5;
2024-04-30;null;null;25,1;
2024-05-31;null;null;23,8;
2024-06-30;null;null;23,3;
2024-07-31;null;null;23,1;
2024-08-31;null;null;24,1;
2024-09-30;null;null;28,5;
2024-10-31;null;null;null;

