Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;363,6;24,9;
2020-02-29;21;458,4;24,4;
2020-03-31;17;248,2;24,7;
2020-04-30;11;79,8;24,2;
2020-05-31;3;6,2;21,6;
2020-06-30;0;0;22,4;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;7;null;null;
2021-01-31;null;null;25;
2021-02-28;null;null;24,1;
2021-03-31;null;null;23,9;
2021-04-30;null;null;23,8;
2021-05-31;4;2,6;22,7;
2021-06-30;1;null;22,3;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;5;null;null;
2021-11-30;20;null;25;
2021-12-31;13;219,8;24,8;
2022-01-31;20;419,2;24,4;
2022-02-28;18;null;24,2;
2022-03-31;10;null;25;
2022-04-30;5;28,4;24,9;
2022-05-31;0;0;21,8;
2022-06-30;0;0;22,4;
2022-07-31;1;3,6;22,6;
2022-08-31;0;0;24,5;
2022-09-30;1;1,6;26,9;
2022-10-31;11;null;26,3;
2022-11-30;10;null;24;
2022-12-31;18;null;23,7;
2023-01-31;17;null;23,3;
2023-02-28;11;null;25,2;
2023-03-31;15;null;24,4;
2023-04-30;11;82,4;24,3;
2023-05-31;null;0;22,7;
2023-06-30;4;18,8;21,7;
2023-07-31;0;0;23,1;
2023-08-31;3;18,8;25,4;
2023-09-30;6;null;28,2;
2023-10-31;5;null;28,1;
2023-11-30;7;null;27,5;
2023-12-31;7;null;null;
2024-01-31;5;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

