Nome: EDEIA
Codigo Estacao: A029
Latitude: -17.33694444
Longitude: -49.91472222
Altitude: 608
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;172,2;25,7;
2020-02-29;16;325,8;25;
2020-03-31;14;142,6;25,5;
2020-04-30;9;null;24,6;
2020-05-31;3;null;20,5;
2020-06-30;null;0;23,4;
2020-07-31;null;null;23,5;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;3;null;22,1;
2021-07-31;0;0;21,4;
2021-08-31;0;0;25,2;
2021-09-30;3;19;29,3;
2021-10-31;13;186,8;26,3;
2021-11-30;16;null;24,9;
2021-12-31;13;220,6;25,3;
2022-01-31;17;213,2;25;
2022-02-28;15;null;25,1;
2022-03-31;11;null;25,5;
2022-04-30;4;84,2;25,4;
2022-05-31;2;10;22,3;
2022-06-30;3;1;22,7;
2022-07-31;0;0;23,8;
2022-08-31;0;0;24,8;
2022-09-30;null;null;26,7;
2022-10-31;null;null;26;
2022-11-30;6;null;24,5;
2022-12-31;12;null;24,3;
2023-01-31;19;null;24;
2023-02-28;12;null;25;
2023-03-31;14;null;24,9;
2023-04-30;9;21,2;24,4;
2023-05-31;null;0;23,1;
2023-06-30;5;2,2;21,7;
2023-07-31;null;0;23,6;
2023-08-31;null;null;25,9;
2023-09-30;null;null;28,5;
2023-10-31;null;null;28,1;
2023-11-30;null;null;27,9;
2023-12-31;9;null;27,5;
2024-01-31;7;null;25,7;
2024-02-29;7;null;null;
2024-03-31;14;null;25,8;
2024-04-30;10;93;26,1;
2024-05-31;null;0;24,5;
2024-06-30;0;0;24,2;
2024-07-31;0;0;24;
2024-08-31;null;0;24,8;
2024-09-30;1;null;29,4;
2024-10-31;null;null;null;

