Nome: SAO MIGUEL DO ARAGUAIA
Codigo Estacao: A031
Latitude: -12.82055554
Longitude: -50.33583333
Altitude: 210
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;6;112,6;29,1;
2021-10-31;12;124,2;28,1;
2021-11-30;24;317,4;26,4;
2021-12-31;24;231,6;26,1;
2022-01-31;20;370,4;26,1;
2022-02-28;15;null;26,5;
2022-03-31;17;null;26,5;
2022-04-30;8;92,6;27,6;
2022-05-31;2;9,2;25,5;
2022-06-30;0;0;25,4;
2022-07-31;0;0;25,4;
2022-08-31;0;0;27,4;
2022-09-30;4;35,2;28,6;
2022-10-31;4;null;28,9;
2022-11-30;13;null;26,3;
2022-12-31;20;null;25,5;
2023-01-31;12;null;25,7;
2023-02-28;14;null;26,7;
2023-03-31;17;166,2;26,3;
2023-04-30;12;50;27;
2023-05-31;3;1,4;27,1;
2023-06-30;1;4,2;26,4;
2023-07-31;0;0;26,1;
2023-08-31;0;0;28,1;
2023-09-30;3;8,2;30,1;
2023-10-31;11;117,8;30;
2023-11-30;10;null;29;
2023-12-31;5;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;10;null;27,4;
2024-04-30;18;123,4;27,6;
2024-05-31;0;0;27,5;
2024-06-30;0;0;25,9;
2024-07-31;0;0;25,7;
2024-08-31;null;0;27,4;
2024-09-30;null;0;30,1;
2024-10-31;null;null;null;

