Nome: MONTE ALEGRE DE GOIAS
Codigo Estacao: A032
Latitude: -13.25361111
Longitude: -46.89027777
Altitude: 552
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;21;362;24,5;
2020-04-30;13;253,2;25;
2020-05-31;5;41,8;23,8;
2020-06-30;0;0;23,3;
2020-07-31;0;0;23,2;
2020-08-31;0;0;25,3;
2020-09-30;1;24,6;28,1;
2020-10-31;9;91,8;28,4;
2020-11-30;13;112,2;25,9;
2020-12-31;14;138,2;25,7;
2021-01-31;11;null;26,2;
2021-02-28;25;310,2;23,7;
2021-03-31;8;98,4;24,8;
2021-04-30;10;115,8;24,6;
2021-05-31;0;0;23,8;
2021-06-30;1;2;23,9;
2021-07-31;0;0;23,9;
2021-08-31;0;0;26;
2021-09-30;2;null;28,7;
2021-10-31;12;185,2;27,4;
2021-11-30;15;null;24,8;
2021-12-31;26;430,8;23,8;
2022-01-31;19;270,2;24,3;
2022-02-28;15;null;24,5;
2022-03-31;9;null;25,3;
2022-04-30;8;49;25,7;
2022-05-31;0;0;23,7;
2022-06-30;0;0;23,5;
2022-07-31;0;0;24,1;
2022-08-31;0;0;26;
2022-09-30;3;9,6;27,7;
2022-10-31;4;null;28,8;
2022-11-30;10;null;24,6;
2022-12-31;10;null;24,3;
2023-01-31;13;9,6;24,5;
2023-02-28;11;42;25,7;
2023-03-31;4;,8;24,4;
2023-04-30;5;18,4;25;
2023-05-31;1;,6;24,8;
2023-06-30;0;0;24;
2023-07-31;0;0;24,5;
2023-08-31;0;0;26,1;
2023-09-30;0;0;29,1;
2023-10-31;2;null;null;
2023-11-30;1;null;null;
2023-12-31;1;null;null;
2024-01-31;4;null;null;
2024-02-29;3;null;null;
2024-03-31;4;null;null;
2024-04-30;3;null;null;
2024-05-31;null;null;25,5;
2024-06-30;null;0;24,2;
2024-07-31;null;0;24;
2024-08-31;null;0;26,2;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

