Nome: PIRES DO RIO
Codigo Estacao: A033
Latitude: -17.30416666
Longitude: -48.28416666
Altitude: 757.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;316,4;24,5;
2020-02-29;22;211,2;23,8;
2020-03-31;16;50,8;24,3;
2020-04-30;14;null;23,7;
2020-05-31;1;null;null;
2020-06-30;0;0;20,6;
2020-07-31;0;0;20,8;
2020-08-31;0;0;22,3;
2020-09-30;1;1,2;25,9;
2020-10-31;13;226,6;26;
2020-11-30;13;100,6;24,5;
2020-12-31;19;270,6;24,6;
2021-01-31;12;121,6;24,3;
2021-02-28;22;396,4;23,5;
2021-03-31;14;179,8;23,5;
2021-04-30;5;56,8;22,7;
2021-05-31;1;,2;21,4;
2021-06-30;3;8,6;20,4;
2021-07-31;0;0;19,2;
2021-08-31;0;0;23;
2021-09-30;3;15,2;27,1;
2021-10-31;11;null;25,1;
2021-11-30;19;227,8;24;
2021-12-31;22;110,4;24,1;
2022-01-31;22;216,8;23,6;
2022-02-28;19;182,6;23,7;
2022-03-31;10;105;24,5;
2022-04-30;5;29;24,1;
2022-05-31;2;31,8;20,6;
2022-06-30;0;0;20,7;
2022-07-31;0;0;20,7;
2022-08-31;0;0;23;
2022-09-30;7;53,4;25,1;
2022-10-31;12;122;25,1;
2022-11-30;1;null;null;
2022-12-31;null;null;null;
2023-01-31;18;null;23;
2023-02-28;15;221;24,4;
2023-03-31;16;220;23,5;
2023-04-30;13;90,2;23,2;
2023-05-31;0;0;21,1;
2023-06-30;1;,4;20,1;
2023-07-31;null;null;21,1;
2023-08-31;3;null;23,3;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;10;56,4;26,9;
2023-12-31;16;252,8;26,1;
2024-01-31;14;193,6;24,9;
2024-02-29;15;285,4;24,5;
2024-03-31;21;242,2;25,2;
2024-04-30;5;51,4;24,9;
2024-05-31;0;0;22,5;
2024-06-30;0;0;21,2;
2024-07-31;0;0;21,1;
2024-08-31;0;0;22,7;
2024-09-30;null;null;26,9;
2024-10-31;null;null;null;

