Nome: ITUMBIARA
Codigo Estacao: A035
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.17
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;449,2;25,9;
2020-02-29;26;219,8;25,2;
2020-03-31;12;61,4;25,5;
2020-04-30;13;17,2;24,4;
2020-05-31;9;45,4;20,5;
2020-06-30;1;,2;21,8;
2020-07-31;0;0;22;
2020-08-31;0;0;23,6;
2020-09-30;2;,6;27,2;
2020-10-31;12;156,2;27,6;
2020-11-30;9;75;26,3;
2020-12-31;20;112;26,1;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;8;null;25,3;
2021-11-30;11;null;25,5;
2021-12-31;17;306,4;25,3;
2022-01-31;20;321,6;24,8;
2022-02-28;15;null;25,1;
2022-03-31;11;null;25,8;
2022-04-30;8;83,2;24,7;
2022-05-31;4;26;20,8;
2022-06-30;3;8,2;21;
2022-07-31;0;0;21,9;
2022-08-31;1;1,4;23,6;
2022-09-30;3;41;26;
2022-10-31;5;null;25,7;
2022-11-30;12;null;24,7;
2022-12-31;17;null;24,6;
2023-01-31;15;null;24,3;
2023-02-28;13;null;25;
2023-03-31;11;null;24,9;
2023-04-30;14;114,8;24,2;
2023-05-31;2;1;21,5;
2023-06-30;3;1,2;19,9;
2023-07-31;1;8,6;21,8;
2023-08-31;5;32,2;24,2;
2023-09-30;4;17,2;28;
2023-10-31;14;null;28,2;
2023-11-30;7;null;28;
2023-12-31;null;null;27,3;
2024-01-31;null;null;25,8;
2024-02-29;null;null;25,7;
2024-03-31;null;null;25,9;
2024-04-30;null;null;25,7;
2024-05-31;null;null;null;
2024-06-30;null;null;22,4;
2024-07-31;null;null;22;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

