Nome: CRISTALINA
Codigo Estacao: A036
Latitude: -16.78499999
Longitude: -47.61305555
Altitude: 1211.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;416,8;22,2;
2020-02-29;20;272,4;21,8;
2020-03-31;22;346,8;21,2;
2020-04-30;19;197,4;20,8;
2020-05-31;7;9,4;18,7;
2020-06-30;4;,8;18,6;
2020-07-31;0;0;18,9;
2020-08-31;0;0;19,3;
2020-09-30;1;8,8;23,1;
2020-10-31;15;206,2;23,7;
2020-11-30;13;129,2;21,6;
2020-12-31;16;233,8;22,4;
2021-01-31;14;228,8;22,2;
2021-02-28;21;517,8;21;
2021-03-31;10;113,6;21,8;
2021-04-30;7;108;21;
2021-05-31;19;15;20,4;
2021-06-30;17;18;19,2;
2021-07-31;null;null;18,1;
2021-08-31;null;0;20;
2021-09-30;0;0;24,9;
2021-10-31;null;null;22,8;
2021-11-30;21;null;21,1;
2021-12-31;23;438,6;21,2;
2022-01-31;22;306,4;21,4;
2022-02-28;20;253,8;21,2;
2022-03-31;8;104;22,3;
2022-04-30;7;67,6;22,1;
2022-05-31;4;null;20,3;
2022-06-30;null;null;null;
2022-07-31;1;,8;18,7;
2022-08-31;0;0;20,4;
2022-09-30;4;15,8;22,6;
2022-10-31;11;141,6;22,8;
2022-11-30;21;210,4;20,8;
2022-12-31;28;304,2;20,8;
2023-01-31;24;286,2;20,8;
2023-02-28;9;63,4;22,7;
2023-03-31;17;127,2;21,7;
2023-04-30;17;103,8;20,9;
2023-05-31;1;13,4;19,9;
2023-06-30;3;9,8;18,6;
2023-07-31;0;0;19,6;
2023-08-31;4;25,4;21,6;
2023-09-30;3;18,6;24,2;
2023-10-31;9;76;24,6;
2023-11-30;14;100,6;24,5;
2023-12-31;18;173,6;23,7;
2024-01-31;24;297,6;22,5;
2024-02-29;20;341,2;22;
2024-03-31;22;267,8;23;
2024-04-30;8;54,4;22,1;
2024-05-31;1;,2;21,2;
2024-06-30;0;0;19,4;
2024-07-31;0;0;19,4;
2024-08-31;0;0;20,5;
2024-09-30;0;0;24,4;
2024-10-31;null;null;null;

