Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;367,2;23,9;
2020-02-29;23;256;24;
2020-03-31;21;196,2;23,7;
2020-04-30;15;186,4;24,3;
2020-05-31;5;64,6;24,1;
2020-06-30;1;1,8;23,6;
2020-07-31;0;0;23,7;
2020-08-31;0;0;25,2;
2020-09-30;1;3,4;27,3;
2020-10-31;7;63,6;27,4;
2020-11-30;null;null;24,6;
2020-12-31;null;null;24,9;
2021-01-31;null;null;24,5;
2021-02-28;null;null;22,5;
2021-03-31;null;null;24,1;
2021-04-30;null;null;24;
2021-05-31;null;0;24,7;
2021-06-30;0;0;24,8;
2021-07-31;0;0;24,5;
2021-08-31;0;0;25,4;
2021-09-30;null;null;28;
2021-10-31;null;null;25,9;
2021-11-30;null;null;23,4;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;24,2;
2022-08-31;0;0;25,8;
2022-09-30;3;32;27,1;
2022-10-31;6;null;27,3;
2022-11-30;12;null;23,2;
2022-12-31;19;null;23,4;
2023-01-31;14;null;23,4;
2023-02-28;14;null;24,2;
2023-03-31;17;null;23,7;
2023-04-30;10;89,2;24,6;
2023-05-31;3;34,6;25;
2023-06-30;0;0;24,8;
2023-07-31;0;0;25;
2023-08-31;4;13,4;26,1;
2023-09-30;4;23;28,1;
2023-10-31;7;null;28,1;
2023-11-30;9;null;26,2;
2023-12-31;6;null;26,2;
2024-01-31;null;null;24;
2024-02-29;null;null;24,7;
2024-03-31;null;null;25,5;
2024-04-30;null;null;25,2;
2024-05-31;null;null;25,6;
2024-06-30;null;null;24,5;
2024-07-31;null;null;24,5;
2024-08-31;null;null;26,1;
2024-09-30;null;null;28,1;
2024-10-31;null;null;null;

