Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;303,8;23,6;
2020-02-29;13;244,2;23,3;
2020-03-31;23;329;23;
2020-04-30;11;173,6;23,9;
2020-05-31;3;null;23,3;
2020-06-30;1;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;0;0;23,4;
2022-09-30;3;55,2;25,3;
2022-10-31;7;44,8;26,1;
2022-11-30;24;367,4;22,8;
2022-12-31;22;317,8;23,4;
2023-01-31;17;245,2;22,6;
2023-02-28;14;151,8;23;
2023-03-31;21;199,2;22,9;
2023-04-30;7;83,2;23,7;
2023-05-31;8;94;23,1;
2023-06-30;0;0;21,9;
2023-07-31;0;0;22,3;
2023-08-31;2;43,2;24,2;
2023-09-30;3;26,6;26,1;
2023-10-31;3;40,2;27,6;
2023-11-30;16;95;25,6;
2023-12-31;17;151,6;25,8;
2024-01-31;21;343,8;24;
2024-02-29;15;228,2;23,8;
2024-03-31;10;132,8;24,6;
2024-04-30;11;104,2;24,7;
2024-05-31;0;0;24;
2024-06-30;0;0;22,9;
2024-07-31;0;0;22,2;
2024-08-31;0;0;24;
2024-09-30;0;0;25,5;
2024-10-31;null;null;null;

