Nome: GAMA (PONTE ALTA)
Codigo Estacao: A046
Latitude: -15.93527777
Longitude: -48.13749999
Altitude: 990
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;422,6;22,8;
2020-02-29;22;302,6;22,4;
2020-03-31;17;283;22,5;
2020-04-30;14;183,2;21,9;
2020-05-31;4;null;19,8;
2020-06-30;0;0;19,9;
2020-07-31;0;0;19,6;
2020-08-31;0;0;21,4;
2020-09-30;2;49,2;24,1;
2020-10-31;11;243,2;24,1;
2020-11-30;18;135;22,6;
2020-12-31;15;291,8;23,1;
2021-01-31;13;190,2;22,8;
2021-02-28;24;437,8;21,7;
2021-03-31;12;123,8;22,2;
2021-04-30;7;36,8;21,3;
2021-05-31;1;1,4;20,4;
2021-06-30;2;19;19,9;
2021-07-31;0;0;19;
2021-08-31;0;0;22;
2021-09-30;3;28,4;25,5;
2021-10-31;7;88,2;23,6;
2021-11-30;22;202,4;22,4;
2021-12-31;23;309,8;22,3;
2022-01-31;15;183;22,1;
2022-02-28;24;320;21,9;
2022-03-31;11;126,2;22,6;
2022-04-30;5;55,8;22,7;
2022-05-31;2;5,2;20;
2022-06-30;0;0;20;
2022-07-31;0;0;20;
2022-08-31;0;0;22,2;
2022-09-30;2;null;24,2;
2022-10-31;8;48,4;24,3;
2022-11-30;20;269,2;21,9;
2022-12-31;22;332,6;21,7;
2023-01-31;21;234,8;21,6;
2023-02-28;11;null;22,8;
2023-03-31;16;203,8;21,6;
2023-04-30;15;134,6;21,5;
2023-05-31;1;5,8;20,4;
2023-06-30;1;4,2;20;
2023-07-31;0;0;20,6;
2023-08-31;3;22;22,6;
2023-09-30;6;14,6;25,2;
2023-10-31;7;94,8;25,4;
2023-11-30;14;139,4;24,8;
2023-12-31;14;159,2;24;
2024-01-31;26;320,2;22,8;
2024-02-29;17;343,8;22,8;
2024-03-31;21;257,4;23;
2024-04-30;11;55,6;23,3;
2024-05-31;1;,2;21,6;
2024-06-30;null;0;20,2;
2024-07-31;0;0;20,2;
2024-08-31;null;null;22;
2024-09-30;0;0;25,6;
2024-10-31;null;null;null;

