Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;480,4;22,7;
2020-02-29;22;512,6;22,1;
2020-03-31;16;null;22;
2020-04-30;11;272,8;21,6;
2020-05-31;5;31,6;19,4;
2020-06-30;0;0;19,2;
2020-07-31;0;0;19,2;
2020-08-31;0;0;20,1;
2020-09-30;2;20;23,5;
2020-10-31;15;117,8;24,1;
2020-11-30;15;139;21,9;
2020-12-31;14;250;22,8;
2021-01-31;10;null;22,7;
2021-02-28;23;615,8;21,4;
2021-03-31;12;106,8;22,1;
2021-04-30;10;93,8;21,2;
2021-05-31;3;4,8;20,7;
2021-06-30;2;8,4;19,9;
2021-07-31;0;0;18,9;
2021-08-31;0;0;20,7;
2021-09-30;2;6,8;25,1;
2021-10-31;14;131;23,5;
2021-11-30;24;215,2;21,8;
2021-12-31;24;409,4;21,5;
2022-01-31;18;148,4;22;
2022-02-28;21;173;21,8;
2022-03-31;10;90,6;22,6;
2022-04-30;5;27,6;22,4;
2022-05-31;4;35;19,5;
2022-06-30;0;0;19,7;
2022-07-31;0;0;19,3;
2022-08-31;0;0;21;
2022-09-30;3;24,2;23,1;
2022-10-31;6;20;23,7;
2022-11-30;11;null;null;
2022-12-31;20;null;21,5;
2023-01-31;22;209,6;21,3;
2023-02-28;13;134;22,9;
2023-03-31;16;138;22,1;
2023-04-30;15;197;21,6;
2023-05-31;1;2;20,4;
2023-06-30;2;15,2;19,4;
2023-07-31;0;0;20,3;
2023-08-31;4;41,6;22,2;
2023-09-30;4;46;24,5;
2023-10-31;7;43,6;25,1;
2023-11-30;10;162,8;24,9;
2023-12-31;17;215,8;23,9;
2024-01-31;15;null;22,9;
2024-02-29;10;null;22,9;
2024-03-31;13;73,4;23,5;
2024-04-30;8;119;22,8;
2024-05-31;1;,2;21,6;
2024-06-30;0;0;19,9;
2024-07-31;0;0;20,1;
2024-08-31;0;0;21,1;
2024-09-30;null;null;24,4;
2024-10-31;null;null;null;

