Nome: RIO SONO
Codigo Estacao: A050
Latitude: -9.793363
Longitude: -47.132732
Altitude: 291
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;285,8;26;
2020-02-29;19;184,4;25,8;
2020-03-31;25;290,4;25,6;
2020-04-30;16;278,4;26;
2020-05-31;12;39,4;26,2;
2020-06-30;0;0;24,7;
2020-07-31;0;0;24,1;
2020-08-31;0;0;25,6;
2020-09-30;1;,4;27,9;
2020-10-31;9;79,4;28,1;
2020-11-30;17;266;26,5;
2020-12-31;18;182,2;26,3;
2021-01-31;17;null;25,5;
2021-02-28;24;416,2;24,9;
2021-03-31;22;272,2;25,7;
2021-04-30;14;200,2;25,4;
2021-05-31;1;,2;25,1;
2021-06-30;1;null;24,8;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;1;null;null;
2023-03-31;21;181,8;25,2;
2023-04-30;15;101,4;26,2;
2023-05-31;5;64,6;26,3;
2023-06-30;0;0;25,4;
2023-07-31;null;0;24,8;
2023-08-31;3;2,2;26,4;
2023-09-30;7;31;28,3;
2023-10-31;9;null;28,4;
2023-11-30;8;null;27,6;
2023-12-31;7;null;null;
2024-01-31;15;null;26,1;
2024-02-29;8;null;null;
2024-03-31;10;null;27,1;
2024-04-30;13;null;26,4;
2024-05-31;2;1,2;26,1;
2024-06-30;0;0;24,8;
2024-07-31;0;0;24,3;
2024-08-31;null;0;26,5;
2024-09-30;null;0;28,5;
2024-10-31;null;null;null;

