Nome: PIUM
Codigo Estacao: A051
Latitude: -10.47694443
Longitude: -49.62944443
Altitude: 161
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;26;332;26,1;
2020-02-29;20;219,8;26;
2020-03-31;26;301,6;25,8;
2020-04-30;15;273,6;26,5;
2020-05-31;3;27,4;26,2;
2020-06-30;1;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;6;null;27,5;
2021-10-31;15;164;26,7;
2021-11-30;22;333,8;25,3;
2021-12-31;29;379,4;25,3;
2022-01-31;23;307,2;25,5;
2022-02-28;24;416,6;25,5;
2022-03-31;24;321,4;25,4;
2022-04-30;20;128;26,4;
2022-05-31;6;60,4;24,7;
2022-06-30;2;16,8;24,4;
2022-07-31;0;0;24;
2022-08-31;0;0;25,4;
2022-09-30;6;42,4;26,9;
2022-10-31;12;136,8;26,8;
2022-11-30;16;330,2;25,4;
2022-12-31;23;357;25,1;
2023-01-31;23;216,6;25;
2023-02-28;19;209,4;25,8;
2023-03-31;23;248,8;25,3;
2023-04-30;16;282;26;
2023-05-31;6;58,8;26,1;
2023-06-30;0;0;25,2;
2023-07-31;0;0;24,5;
2023-08-31;4;9,2;26,1;
2023-09-30;5;39,2;27,9;
2023-10-31;12;128,4;27,9;
2023-11-30;12;117,8;27;
2023-12-31;13;76,4;27;
2024-01-31;25;465,6;26;
2024-02-29;10;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

