Nome: SANTA ROSA DO TOCANTINS
Codigo Estacao: A052
Latitude: -11.42888888
Longitude: -48.18499999
Altitude: 306
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;349,8;25,4;
2020-02-29;18;219,2;25,8;
2020-03-31;19;232,4;25,5;
2020-04-30;18;256;25,6;
2020-05-31;3;15,4;25,3;
2020-06-30;0;0;24,6;
2020-07-31;0;0;24,4;
2020-08-31;0;0;26,3;
2020-09-30;1;,6;28,3;
2020-10-31;7;64,2;28,3;
2020-11-30;11;102,6;26,7;
2020-12-31;17;294,8;26,1;
2021-01-31;11;null;25,7;
2021-02-28;24;326;24,2;
2021-03-31;8;28;25,6;
2021-04-30;null;null;25,7;
2021-05-31;null;0;25;
2021-06-30;0;0;24,8;
2021-07-31;0;0;24,5;
2021-08-31;0;0;26,4;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;26,2;
2022-05-31;null;null;24,8;
2022-06-30;null;null;24,8;
2022-07-31;null;null;24,6;
2022-08-31;null;null;26,6;
2022-09-30;3;71,8;28;
2022-10-31;6;null;28;
2022-11-30;10;null;25,1;
2022-12-31;18;null;24,3;
2023-01-31;9;null;24,6;
2023-02-28;9;null;null;
2023-03-31;16;null;24,9;
2023-04-30;10;59,2;25,6;
2023-05-31;2;null;25,8;
2023-06-30;null;null;25,3;
2023-07-31;null;null;25,7;
2023-08-31;1;11,8;27,3;
2023-09-30;4;null;29,4;
2023-10-31;5;null;29,3;
2023-11-30;2;null;null;
2023-12-31;6;null;null;
2024-01-31;6;null;null;
2024-02-29;9;null;null;
2024-03-31;21;null;26,7;
2024-04-30;22;188,4;26,4;
2024-05-31;4;,8;26,3;
2024-06-30;0;0;25,1;
2024-07-31;null;null;24,9;
2024-08-31;null;0;26,8;
2024-09-30;null;null;29,2;
2024-10-31;null;null;null;

