Nome: ALMAS
Codigo Estacao: A053
Latitude: -11.28416666
Longitude: -47.21222222
Altitude: 503
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;25;340,2;25;
2020-02-29;24;252,8;24,9;
2020-03-31;25;187,8;24,8;
2020-04-30;20;276,8;25,1;
2020-05-31;5;43,2;24,8;
2020-06-30;0;0;23,9;
2020-07-31;0;0;23,6;
2020-08-31;0;0;25,6;
2020-09-30;2;null;27,9;
2020-10-31;6;null;27,6;
2020-11-30;6;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;5;null;29;
2021-10-31;18;162,4;26,5;
2021-11-30;26;276,4;24,5;
2021-12-31;25;358,4;24,2;
2022-01-31;22;428;24,4;
2022-02-28;17;null;24,7;
2022-03-31;21;126;24,8;
2022-04-30;10;48,6;25,7;
2022-05-31;3;null;25,4;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;8;null;28,6;
2023-11-30;9;null;26,8;
2023-12-31;11;null;26,9;
2024-01-31;16;null;25;
2024-02-29;11;null;25,8;
2024-03-31;15;221,4;26,4;
2024-04-30;23;280;25,7;
2024-05-31;3;12,6;25,3;
2024-06-30;0;0;24,1;
2024-07-31;0;0;24;
2024-08-31;0;0;26,3;
2024-09-30;null;0;29,1;
2024-10-31;1;null;null;

