Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;470,8;22,9;
2020-02-29;20;292,6;22,3;
2020-03-31;18;188,4;22,6;
2020-04-30;10;155,2;21,9;
2020-05-31;6;44,8;19;
2020-06-30;4;,8;18,6;
2020-07-31;0;0;18,6;
2020-08-31;0;0;19,7;
2020-09-30;2;10,6;22,8;
2020-10-31;14;142,8;24,2;
2020-11-30;15;160;22,7;
2020-12-31;14;295,8;22,7;
2021-01-31;10;null;22,3;
2021-02-28;22;381,8;22,1;
2021-03-31;11;107;22,6;
2021-04-30;9;161,8;21,3;
2021-05-31;1;,2;20;
2021-06-30;0;0;18,8;
2021-07-31;0;0;17,8;
2021-08-31;0;0;19,9;
2021-09-30;null;0;24,5;
2021-10-31;null;null;null;
2021-11-30;13;null;22,3;
2021-12-31;21;414,2;22;
2022-01-31;18;186,8;22;
2022-02-28;23;297,6;22,3;
2022-03-31;7;82,6;23;
2022-04-30;3;59;22,3;
2022-05-31;1;6,4;18,9;
2022-06-30;0;0;18,7;
2022-07-31;null;0;18,3;
2022-08-31;0;0;20,2;
2022-09-30;2;33,2;22,9;
2022-10-31;5;null;23,8;
2022-11-30;14;null;21,6;
2022-12-31;18;null;21,9;
2023-01-31;13;null;21,7;
2023-02-28;11;null;23,3;
2023-03-31;11;null;22,9;
2023-04-30;15;91;21,9;
2023-05-31;null;0;19,7;
2023-06-30;3;3,8;18,7;
2023-07-31;0;0;19,4;
2023-08-31;2;2,2;21,5;
2023-09-30;null;null;24,5;
2023-10-31;5;null;25,5;
2023-11-30;3;null;26;
2023-12-31;6;null;24,7;
2024-01-31;9;null;23,2;
2024-02-29;7;null;null;
2024-03-31;14;226,4;23,9;
2024-04-30;8;63,2;23;
2024-05-31;1;,2;21,2;
2024-06-30;0;0;19,3;
2024-07-31;null;null;19,1;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

