Nome: BOCA DO ACRE
Codigo Estacao: A110
Latitude: -8.77666666
Longitude: -67.33249999
Altitude: 111.98
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;4;null;null;
2022-10-31;16;132;27,1;
2022-11-30;16;212,2;26,4;
2022-12-31;19;292,2;26,2;
2023-01-31;26;122,6;25,7;
2023-02-28;24;350,8;25,6;
2023-03-31;24;318,4;25,9;
2023-04-30;22;166,6;26,2;
2023-05-31;18;291,2;26,2;
2023-06-30;9;48,2;24,9;
2023-07-31;3;10,6;26,7;
2023-08-31;11;45,4;27,7;
2023-09-30;13;110,4;28,3;
2023-10-31;11;70;29,1;
2023-11-30;14;null;27,4;
2023-12-31;25;289,4;26,9;
2024-01-31;25;536;26,7;
2024-02-29;28;553,8;26,6;
2024-03-31;24;202,6;27,4;
2024-04-30;24;250,4;27,1;
2024-05-31;15;57,2;25,4;
2024-06-30;5;26;27,1;
2024-07-31;3;14,4;25,3;
2024-08-31;4;7,8;26,5;
2024-09-30;5;71,2;28,2;
2024-10-31;1;null;null;

