Nome: HUMAITA
Codigo Estacao: A112
Latitude: -7.5525
Longitude: -63.07138888
Altitude: 53.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;null;null;
2020-02-29;7;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;3;6;26,3;
2020-08-31;3;17,4;26,6;
2020-09-30;6;null;27,4;
2020-10-31;12;67;27,2;
2020-11-30;15;null;26,9;
2020-12-31;9;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;26,4;
2022-08-31;9;49,8;26,4;
2022-09-30;7;21,2;27,9;
2022-10-31;9;null;27,3;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;8;103,6;25,4;
2023-07-31;2;1;26,4;
2023-08-31;5;32,8;27,6;
2023-09-30;12;88;28,3;
2023-10-31;12;34,4;28,6;
2023-11-30;13;105,2;28,1;
2023-12-31;18;80,8;27,5;
2024-01-31;28;289;27;
2024-02-29;20;305;27,1;
2024-03-31;27;289,8;27,4;
2024-04-30;18;100;27,3;
2024-05-31;10;34,4;26,3;
2024-06-30;2;4,6;27,3;
2024-07-31;5;34,2;26,3;
2024-08-31;2;16,8;27,3;
2024-09-30;4;53;29,1;
2024-10-31;4;null;null;

