Nome: AUTAZES
Codigo Estacao: A120
Latitude: -3.58333333
Longitude: -59.12944443
Altitude: 19.9
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;147,2;27,3;
2020-02-29;18;134,6;27,2;
2020-03-31;16;387,6;27,4;
2020-04-30;21;327,4;26,7;
2020-05-31;22;159;26,6;
2020-06-30;13;130,2;27,3;
2020-07-31;10;79,4;27,5;
2020-08-31;4;25;28,3;
2020-09-30;10;126;28,1;
2020-10-31;7;78;27,7;
2020-11-30;15;197,4;27,1;
2020-12-31;18;214;26,5;
2021-01-31;26;365,2;25,8;
2021-02-28;3;null;null;
2021-03-31;5;null;null;
2021-04-30;5;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;3;null;null;
2022-05-31;22;201,2;26,8;
2022-06-30;23;270,4;26,3;
2022-07-31;9;98,4;27,7;
2022-08-31;10;52,8;27,9;
2022-09-30;9;48,8;28,4;
2022-10-31;14;172,2;27,7;
2022-11-30;13;136;27,3;
2022-12-31;21;279,8;26,5;
2023-01-31;27;307,2;25,5;
2023-02-28;26;363,6;25,9;
2023-03-31;23;193;26,4;
2023-04-30;16;null;27;
2023-05-31;21;221,2;27,3;
2023-06-30;16;85;27,2;
2023-07-31;8;52,6;28,2;
2023-08-31;4;19,8;29,2;
2023-09-30;6;23,2;29,8;
2023-10-31;10;74;29,8;
2023-11-30;6;91,6;29,3;
2023-12-31;18;null;27,2;
2024-01-31;8;null;null;
2024-02-29;10;null;28,1;
2024-03-31;6;null;null;
2024-04-30;8;null;null;
2024-05-31;4;null;null;
2024-06-30;12;null;28;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

