Nome: MAUES
Codigo Estacao: A122
Latitude: -3.39888888
Longitude: -57.67388888
Altitude: 25.49
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;21;243;26,2;
2020-02-29;23;212,6;25,9;
2020-03-31;20;226,6;26,5;
2020-04-30;28;370,8;26,1;
2020-05-31;22;null;26,1;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;2;null;null;
2022-04-30;25;456,6;null;
2022-05-31;24;265,6;null;
2022-06-30;20;202;null;
2022-07-31;16;66,2;null;
2022-08-31;16;90,2;null;
2022-09-30;10;46,8;null;
2022-10-31;15;106,8;null;
2022-11-30;8;101,4;null;
2022-12-31;23;293,6;null;
2023-01-31;28;417,6;null;
2023-02-28;25;null;null;
2023-03-31;24;210;null;
2023-04-30;25;229,8;null;
2023-05-31;11;null;null;
2023-06-30;12;null;null;
2023-07-31;9;44,4;null;
2023-08-31;7;27,6;null;
2023-09-30;10;178,6;null;
2023-10-31;11;130,4;null;
2023-11-30;11;110,4;null;
2023-12-31;19;215,8;null;
2024-01-31;17;207,2;null;
2024-02-29;17;null;null;
2024-03-31;11;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

