Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;115,4;27,2;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;17;244,4;26,5;
2022-06-30;21;151,8;25,9;
2022-07-31;13;167;26,9;
2022-08-31;8;80,8;27,4;
2022-09-30;1;2,8;28,6;
2022-10-31;7;103;27,3;
2022-11-30;8;32;26,9;
2022-12-31;21;351,2;25,7;
2023-01-31;28;448,4;24,7;
2023-02-28;25;299,4;25,1;
2023-03-31;21;180,6;25,8;
2023-04-30;16;206,2;25,6;
2023-05-31;20;298,2;26,1;
2023-06-30;10;37,8;26,4;
2023-07-31;5;42,4;27,2;
2023-08-31;3;48,4;28,2;
2023-09-30;4;17,4;28,8;
2023-10-31;3;22,4;29,1;
2023-11-30;9;71,2;28,8;
2023-12-31;13;194,4;26,8;
2024-01-31;24;202,6;26,1;
2024-02-29;19;144;26,8;
2024-03-31;26;254;26,3;
2024-04-30;17;319;26;
2024-05-31;23;271,8;26,3;
2024-06-30;9;76,2;26,8;
2024-07-31;4;40;27,3;
2024-08-31;7;121;27,3;
2024-09-30;2;1;29,2;
2024-10-31;2;null;null;

