Nome: PRESIDENTE FIGUEIREDO
Codigo Estacao: A126
Latitude: -2.05666666
Longitude: -60.02583332
Altitude: 60.99
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;27,5;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;5;null;27,2;
2020-09-30;5;null;27,6;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;10;null;25,4;
2021-01-31;25;272;25,7;
2021-02-28;21;249,6;25,9;
2021-03-31;25;362,2;25,4;
2021-04-30;27;300,8;25,8;
2021-05-31;24;262,2;25,9;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;6;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;9;null;null;
2022-07-31;21;124,8;26,5;
2022-08-31;14;104;26,9;
2022-09-30;15;51,8;27,5;
2022-10-31;14;159;26,9;
2022-11-30;14;144,8;26,7;
2022-12-31;20;357,6;26,2;
2023-01-31;26;327,4;25,4;
2023-02-28;27;420;25,7;
2023-03-31;25;248;26,2;
2023-04-30;22;272,8;26,3;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

