Nome: BARCELOS
Codigo Estacao: A128
Latitude: -0.98722221
Longitude: -62.92416666
Altitude: 29.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;6;null;null;
2022-06-30;21;201,6;25,4;
2022-07-31;21;177;26,3;
2022-08-31;18;214,2;26,4;
2022-09-30;19;188,2;26,7;
2022-10-31;17;329,8;26,8;
2022-11-30;13;241;26,4;
2022-12-31;19;162,6;26,6;
2023-01-31;21;null;25,5;
2023-02-28;22;null;26;
2023-03-31;18;274,8;26,2;
2023-04-30;19;252,6;26,4;
2023-05-31;21;294,4;26,5;
2023-06-30;20;211;26;
2023-07-31;18;237;26,6;
2023-08-31;11;150,8;27,2;
2023-09-30;12;142,2;28,1;
2023-10-31;8;101;28,4;
2023-11-30;4;32,8;27,9;
2023-12-31;7;72,8;27,1;
2024-01-31;12;117,4;27,9;
2024-02-29;10;131,6;27,9;
2024-03-31;23;298,2;27,2;
2024-04-30;21;318,4;27;
2024-05-31;26;465,8;26,7;
2024-06-30;21;189,2;26,8;
2024-07-31;16;325,2;26,5;
2024-08-31;6;57,4;27,3;
2024-09-30;5;null;28,4;
2024-10-31;null;null;null;

