Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;174,8;26,5;
2020-02-29;13;80;27,2;
2020-03-31;18;245,8;26,5;
2020-04-30;22;271,2;26;
2020-05-31;27;359;25,7;
2020-06-30;24;422;25,3;
2020-07-31;27;223,2;25,3;
2020-08-31;17;104,4;25,8;
2020-09-30;10;null;26,6;
2020-10-31;13;87;26,5;
2020-11-30;2;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;6;null;null;
2022-06-30;23;359,6;24,7;
2022-07-31;19;156,6;25,6;
2022-08-31;24;245,2;25,3;
2022-09-30;17;154,8;26,3;
2022-10-31;17;169;26,2;
2022-11-30;14;null;25,6;
2022-12-31;24;null;25,7;
2023-01-31;21;null;25;
2023-02-28;25;null;25,1;
2023-03-31;19;238,4;25,8;
2023-04-30;24;409;25,6;
2023-05-31;21;267,8;25,8;
2023-06-30;24;210;24,9;
2023-07-31;26;224,8;25,5;
2023-08-31;20;184;26,5;
2023-09-30;13;171,2;27;
2023-10-31;15;98,8;27,7;
2023-11-30;14;null;27,2;
2023-12-31;21;null;26,7;
2024-01-31;21;null;27,3;
2024-02-29;14;null;27,2;
2024-03-31;13;null;27,1;
2024-04-30;22;290;26,6;
2024-05-31;24;309;26,2;
2024-06-30;23;198;25,8;
2024-07-31;22;238,2;25,1;
2024-08-31;17;157;26,1;
2024-09-30;16;212,4;26,8;
2024-10-31;6;null;null;

