Nome: NOVO ARIPUANA
Codigo Estacao: A144
Latitude: -8.0911111
Longitude: -60.38055554
Altitude: 45
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;7;null;null;
2022-07-31;6;null;27,4;
2022-08-31;14;82,6;27,1;
2022-09-30;10;104,2;27,8;
2022-10-31;17;284,2;26,8;
2022-11-30;15;208,4;26,6;
2022-12-31;25;266,4;26,2;
2023-01-31;27;337,8;25,3;
2023-02-28;24;null;25,6;
2023-03-31;28;437,2;25,6;
2023-04-30;24;528;26,2;
2023-05-31;20;226,2;26,8;
2023-06-30;18;124,4;26,3;
2023-07-31;6;47;27,5;
2023-08-31;10;64,2;28,3;
2023-09-30;9;34,6;28,7;
2023-10-31;5;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;14;null;26,4;
2024-04-30;26;381,4;27,2;
2024-05-31;20;204;27,1;
2024-06-30;12;122;27,5;
2024-07-31;6;8,6;27,9;
2024-08-31;5;17,2;28,3;
2024-09-30;6;107,6;29,1;
2024-10-31;2;null;null;

