Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;30;465,6;26,2;
2020-02-29;26;553,8;26;
2020-03-31;14;null;25,8;
2020-04-30;29;452,6;26,5;
2020-05-31;28;474,6;26,9;
2020-06-30;22;248,2;27,1;
2020-07-31;17;156,2;27,4;
2020-08-31;10;110,4;28,2;
2020-09-30;19;142,2;27,7;
2020-10-31;25;304,8;27,3;
2020-11-30;27;414,6;27;
2020-12-31;25;227;27,2;
2021-01-31;23;null;26,5;
2021-02-28;27;633,8;26;
2021-03-31;28;438;25,8;
2021-04-30;26;513,4;26,5;
2021-05-31;26;498;26,7;
2021-06-30;24;191;26,9;
2021-07-31;26;210;26,8;
2021-08-31;18;275,8;27,4;
2021-09-30;26;242,8;26,9;
2021-10-31;27;312,6;27,6;
2021-11-30;24;327,6;27,4;
2021-12-31;24;286,2;27,5;
2022-01-31;27;304,8;25,9;
2022-02-28;25;275,6;26,7;
2022-03-31;29;528,8;26,2;
2022-04-30;27;501;25,9;
2022-05-31;29;452,6;26,2;
2022-06-30;15;null;26,7;
2022-07-31;17;113;27,4;
2022-08-31;16;157;27,8;
2022-09-30;18;182;27,8;
2022-10-31;22;248,4;27,7;
2022-11-30;22;368;27,2;
2022-12-31;25;333,8;26,9;
2023-01-31;30;359,6;26,4;
2023-02-28;22;null;26,1;
2023-03-31;29;533,4;26,1;
2023-04-30;29;308,8;26,8;
2023-05-31;25;259,8;27,3;
2023-06-30;20;193,8;27,5;
2023-07-31;17;133,8;27,8;
2023-08-31;7;26,2;28,4;
2023-09-30;11;38,6;28,7;
2023-10-31;10;null;29;
2023-11-30;8;null;28,7;
2023-12-31;16;null;27,9;
2024-01-31;30;506,6;27,2;
2024-02-29;23;410,4;26,9;
2024-03-31;31;537,8;27,2;
2024-04-30;30;466;27,2;
2024-05-31;28;332,2;27,5;
2024-06-30;23;231;27,7;
2024-07-31;6;36,8;28,4;
2024-08-31;13;66,8;28,5;
2024-09-30;11;23,2;28,9;
2024-10-31;2;null;null;

