Nome: MEDICILANDIA
Codigo Estacao: A209
Latitude: -3.51083333
Longitude: -52.96333333
Altitude: 251.68
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;393;24,9;
2020-02-29;26;315,6;24,8;
2020-03-31;23;278;25,1;
2020-04-30;27;304,8;25;
2020-05-31;20;264,2;25,5;
2020-06-30;10;60,6;25,9;
2020-07-31;7;31,4;26,8;
2020-08-31;7;41,8;27,1;
2020-09-30;8;33,8;27;
2020-10-31;8;47;27,4;
2020-11-30;19;159,8;25,9;
2020-12-31;19;207,4;25,2;
2021-01-31;13;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;7;null;26;
2022-07-31;9;26,2;26,3;
2022-08-31;10;36,8;26,7;
2022-09-30;7;33,8;27,4;
2022-10-31;10;51,6;27,2;
2022-11-30;18;231,8;25,9;
2022-12-31;20;344;25,3;
2023-01-31;30;296,6;24,4;
2023-02-28;25;376,8;24,5;
2023-03-31;27;407;24,6;
2023-04-30;23;390,6;24,9;
2023-05-31;21;274,6;25,8;
2023-06-30;12;99,6;26,2;
2023-07-31;12;70;26,6;
2023-08-31;5;21,6;27,7;
2023-09-30;8;55,4;28;
2023-10-31;8;31;28,6;
2023-11-30;11;45,4;28,1;
2023-12-31;17;77,8;27;
2024-01-31;24;308,4;26;
2024-02-29;22;296;25,8;
2024-03-31;27;491,8;25,7;
2024-04-30;29;353;25,5;
2024-05-31;25;218;26,1;
2024-06-30;11;64,6;26,8;
2024-07-31;4;null;27,1;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

