Nome: PLACAS
Codigo Estacao: A211
Latitude: -3.86416666
Longitude: -54.21638888
Altitude: 100.45
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;237,4;26,2;
2020-02-29;28;220,4;26,1;
2020-03-31;6;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;11;null;26,2;
2022-07-31;8;9,6;26,8;
2022-08-31;3;49;27,2;
2022-09-30;22;86;27,6;
2022-10-31;18;240,6;27,2;
2022-11-30;15;271;26,7;
2022-12-31;16;225,2;26,2;
2023-01-31;21;138,8;25,4;
2023-02-28;18;193,8;25,7;
2023-03-31;19;257;25,7;
2023-04-30;15;202,8;26,3;
2023-05-31;13;88,6;26,6;
2023-06-30;6;32,4;26,8;
2023-07-31;4;12,4;26,7;
2023-08-31;3;7,6;28;
2023-09-30;5;20,6;28,9;
2023-10-31;5;75,4;29,4;
2023-11-30;2;22,8;29,3;
2023-12-31;5;48;28,3;
2024-01-31;null;null;27,1;
2024-02-29;null;null;26,9;
2024-03-31;null;null;27;
2024-04-30;null;null;27;
2024-05-31;null;null;27,5;
2024-06-30;null;null;27,5;
2024-07-31;null;null;27,4;
2024-08-31;4;20,6;27,8;
2024-09-30;0;0;29,4;
2024-10-31;4;null;null;

