Nome: TOME ACU
Codigo Estacao: A213
Latitude: -2.59249999
Longitude: -48.36055555
Altitude: 42.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;343,6;25,7;
2020-02-29;26;297,8;25,9;
2020-03-31;26;335,8;26,1;
2020-04-30;30;429,8;26,1;
2020-05-31;22;198,6;26,7;
2020-06-30;14;54,8;26,7;
2020-07-31;8;21,6;26,7;
2020-08-31;2;18,2;27,3;
2020-09-30;3;38,2;27,6;
2020-10-31;18;75;27,2;
2020-11-30;18;null;26,7;
2020-12-31;16;null;26,7;
2021-01-31;8;null;null;
2021-02-28;22;396,6;25,8;
2021-03-31;29;390;25,4;
2021-04-30;26;297,2;26,3;
2021-05-31;22;212,8;26,6;
2021-06-30;18;72;26,3;
2021-07-31;17;129;26,1;
2021-08-31;8;27,2;26,5;
2021-09-30;15;115,6;26,4;
2021-10-31;16;95,2;27,1;
2021-11-30;18;144,6;27;
2021-12-31;8;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;11;43,2;26,8;
2023-08-31;1;6;27,3;
2023-09-30;2;4,6;28,3;
2023-10-31;6;35,4;28,5;
2023-11-30;18;145;27,9;
2023-12-31;21;199;26,8;
2024-01-31;27;234,6;26,8;
2024-02-29;26;345,2;26,2;
2024-03-31;29;442;26,6;
2024-04-30;28;443,8;26,8;
2024-05-31;27;162;27,3;
2024-06-30;12;108,6;27;
2024-07-31;4;39,6;26,8;
2024-08-31;3;15,8;27,2;
2024-09-30;null;null;null;
2024-10-31;3;null;null;

