Nome: RONDON DO PARA
Codigo Estacao: A214
Latitude: -4.82749999
Longitude: -48.1736111
Altitude: 203
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;25;362,4;25,5;
2020-02-29;24;346;25,5;
2020-03-31;29;127;25,4;
2020-04-30;24;48,4;25,6;
2020-05-31;14;82,2;26,4;
2020-06-30;8;29,8;25,7;
2020-07-31;1;9,6;25,4;
2020-08-31;1;20,8;25,8;
2020-09-30;0;0;26,5;
2020-10-31;12;91,6;27,1;
2020-11-30;18;322;25,8;
2020-12-31;17;64;25,6;
2021-01-31;22;149,6;25,2;
2021-02-28;17;345,4;25,1;
2021-03-31;4;null;25;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;9;null;null;
2022-01-31;23;390,8;null;
2022-02-28;24;195,8;null;
2022-03-31;22;453,6;null;
2022-04-30;22;299,8;null;
2022-05-31;12;52,6;null;
2022-06-30;12;136,4;null;
2022-07-31;1;,2;null;
2022-08-31;3;1;null;
2022-09-30;2;8,6;null;
2022-10-31;1;12,6;null;
2022-11-30;11;290,2;null;
2022-12-31;21;148,8;null;
2023-01-31;17;110,6;null;
2023-02-28;25;357,2;null;
2023-03-31;24;360,2;null;
2023-04-30;16;125,8;null;
2023-05-31;13;191,2;null;
2023-06-30;2;8,4;null;
2023-07-31;3;7,8;null;
2023-08-31;2;20,4;null;
2023-09-30;4;14,2;null;
2023-10-31;8;51,4;null;
2023-11-30;9;54,8;27,1;
2023-12-31;13;90,2;26,6;
2024-01-31;9;164,8;26,4;
2024-02-29;11;null;25,6;
2024-03-31;null;null;26,2;
2024-04-30;null;null;26,2;
2024-05-31;null;null;26,9;
2024-06-30;null;null;26,5;
2024-07-31;null;null;25,8;
2024-08-31;null;null;26,4;
2024-09-30;null;null;27,4;
2024-10-31;null;null;null;

