Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;21;320,6;27,2;
2020-02-29;24;409,8;26,8;
2020-03-31;16;null;26,5;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;12;null;null;
2022-05-31;null;null;null;
2022-06-30;5;null;null;
2022-07-31;5;7,6;27;
2022-08-31;3;16;27;
2022-09-30;1;,2;27;
2022-10-31;0;0;27,3;
2022-11-30;9;47,6;26,9;
2022-12-31;13;73,4;27;
2023-01-31;22;168,8;26,5;
2023-02-28;23;194;26,4;
2023-03-31;26;363;25,9;
2023-04-30;21;196,2;26,4;
2023-05-31;27;146,6;27,6;
2023-06-30;15;141,4;27,2;
2023-07-31;10;33,6;27,1;
2023-08-31;2;3,4;26,9;
2023-09-30;0;0;27,1;
2023-10-31;1;1;27,2;
2023-11-30;4;3,8;27,5;
2023-12-31;10;19,8;27,7;
2024-01-31;11;122,8;27,8;
2024-02-29;24;383,8;26,8;
2024-03-31;30;388,4;26,8;
2024-04-30;22;351;26,9;
2024-05-31;21;153,6;27,7;
2024-06-30;9;46,8;27,4;
2024-07-31;2;36,2;27,1;
2024-08-31;0;0;26,7;
2024-09-30;0;0;26,6;
2024-10-31;null;null;null;

