Nome: BARRA DO CORDA
Codigo Estacao: A221
Latitude: -5.50666666
Longitude: -45.23694444
Altitude: 154.19
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;null;26,5;
2020-02-29;null;null;26,2;
2020-03-31;null;null;26;
2020-04-30;null;null;26,4;
2020-05-31;null;null;26,9;
2020-06-30;null;null;26,6;
2020-07-31;null;null;26,3;
2020-08-31;null;null;27,8;
2020-09-30;null;null;29,2;
2020-10-31;null;0;29,3;
2020-11-30;null;null;27,5;
2020-12-31;null;null;27;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;2;3,8;27,6;
2022-09-30;1;8,8;28,8;
2022-10-31;2;46,6;29,5;
2022-11-30;14;205;26,7;
2022-12-31;15;181,4;26,6;
2023-01-31;21;159;25,3;
2023-02-28;18;266,2;25,7;
2023-03-31;23;288,8;25,6;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;2;null;null;
2023-09-30;0;0;30,1;
2023-10-31;4;11;30,1;
2023-11-30;6;127,8;29,3;
2023-12-31;2;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;27,5;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

