Nome: ALTO PARNAIBA
Codigo Estacao: A223
Latitude: -9.10833333
Longitude: -45.93194443
Altitude: 283.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;254,2;26,1;
2020-02-29;19;158,2;26;
2020-03-31;23;268;26;
2020-04-30;12;91,8;26,3;
2020-05-31;5;57;26,6;
2020-06-30;1;,2;25,3;
2020-07-31;0;0;24,9;
2020-08-31;1;1,2;26;
2020-09-30;0;0;28,4;
2020-10-31;10;64,8;28,1;
2020-11-30;16;161,8;26,7;
2020-12-31;16;72;26,8;
2021-01-31;16;68,4;26,1;
2021-02-28;null;null;25,3;
2021-03-31;7;45,2;25,9;
2021-04-30;3;32,2;25,7;
2021-05-31;2;9,2;25,7;
2021-06-30;0;0;25,2;
2021-07-31;0;0;25,2;
2021-08-31;null;0;25,8;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;0;0;26,1;
2022-09-30;4;37,6;27,7;
2022-10-31;null;null;29,4;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;2;null;null;
2023-03-31;23;133,8;25,6;
2023-04-30;14;132,2;26;
2023-05-31;9;94,2;26,4;
2023-06-30;1;2,6;25,9;
2023-07-31;null;null;null;
2023-08-31;2;5,6;27;
2023-09-30;4;5,2;28,7;
2023-10-31;4;17,2;29,9;
2023-11-30;12;90,6;28,1;
2023-12-31;11;200,2;27,8;
2024-01-31;22;279,4;26,6;
2024-02-29;18;242,4;26,4;
2024-03-31;18;144,2;27,2;
2024-04-30;20;155,8;26,7;
2024-05-31;2;3,2;26,7;
2024-06-30;0;0;25,7;
2024-07-31;0;0;24,9;
2024-08-31;1;,2;26,9;
2024-09-30;0;0;28,5;
2024-10-31;null;null;null;

