Nome: IMPERATRIZ
Codigo Estacao: A225
Latitude: -5.55583333
Longitude: -47.45972222
Altitude: 117.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;28;298;26,6;
2020-02-29;17;371,8;26,6;
2020-03-31;22;898,6;26,4;
2020-04-30;21;321,4;26,4;
2020-05-31;9;22,2;27,6;
2020-06-30;0;0;27,1;
2020-07-31;0;0;26,9;
2020-08-31;0;0;27,8;
2020-09-30;0;0;29;
2020-10-31;5;27;29,2;
2020-11-30;12;98,8;27,3;
2020-12-31;19;228,6;26,7;
2021-01-31;23;167;26;
2021-02-28;18;243,6;26,2;
2021-03-31;22;217,2;26;
2021-04-30;17;105,8;26,6;
2021-05-31;9;23,2;26,8;
2021-06-30;2;13,6;26,7;
2021-07-31;1;4,4;27;
2021-08-31;1;1,6;28,1;
2021-09-30;13;35;28;
2021-10-31;8;124,4;27,5;
2021-11-30;16;211,6;26,8;
2021-12-31;19;344,2;26,6;
2022-01-31;20;279;26;
2022-02-28;21;194;26,1;
2022-03-31;28;404,2;26;
2022-04-30;14;106,2;26,9;
2022-05-31;7;35,4;27;
2022-06-30;6;68,4;26,7;
2022-07-31;4;4,8;27,2;
2022-08-31;1;2,2;27,7;
2022-09-30;2;1,2;28,7;
2022-10-31;4;52,4;29,4;
2022-11-30;19;429;26,6;
2022-12-31;20;157,2;26,4;
2023-01-31;20;145,8;26;
2023-02-28;18;140,4;26,3;
2023-03-31;23;484;25,8;
2023-04-30;15;123,4;26,7;
2023-05-31;10;31,6;27,5;
2023-06-30;1;1,6;27,6;
2023-07-31;0;0;27,3;
2023-08-31;1;,4;28,6;
2023-09-30;3;4,6;29,7;
2023-10-31;6;49,8;29,6;
2023-11-30;15;10,4;28,6;
2023-12-31;3;26,4;28,1;
2024-01-31;20;300,6;27,2;
2024-02-29;5;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;3;null;null;
2024-06-30;1;,4;null;
2024-07-31;3;1;null;
2024-08-31;2;null;28,6;
2024-09-30;0;0;29,9;
2024-10-31;1;null;null;

