Nome: BRAGANCA
Codigo Estacao: A226
Latitude: -1.05583333
Longitude: -46.78277777
Altitude: 5.6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;31;534,6;26,2;
2020-02-29;28;612;25,9;
2020-03-31;28;569,2;26;
2020-04-30;20;235,6;25,9;
2020-05-31;7;9,4;26,6;
2020-06-30;null;null;26,1;
2020-07-31;15;79,2;26,9;
2020-08-31;8;13,8;27,5;
2020-09-30;0;0;27,9;
2020-10-31;11;290,2;28,4;
2020-11-30;8;189,8;27,9;
2020-12-31;2;44,2;28,1;
2021-01-31;14;662,6;27,6;
2021-02-28;13;205,4;26,4;
2021-03-31;2;null;null;
2021-04-30;null;null;null;
2021-05-31;2;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;26,3;
2021-08-31;1;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;1;null;null;
2021-12-31;20;785;28,2;
2022-01-31;8;119;26,2;
2022-02-28;13;null;27,4;
2022-03-31;9;null;null;
2022-04-30;15;null;25,7;
2022-05-31;29;436,4;25,8;
2022-06-30;22;259,4;26,1;
2022-07-31;24;168,8;26,3;
2022-08-31;16;41,8;27;
2022-09-30;2;5;27,9;
2022-10-31;0;0;28,4;
2022-11-30;0;0;27,7;
2022-12-31;null;null;27,7;
2023-01-31;null;null;26,5;
2023-02-28;null;null;25,9;
2023-03-31;null;null;25,8;
2023-04-30;null;null;26,1;
2023-05-31;null;null;26,5;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;3;6,8;28,5;
2023-12-31;11;41,8;28,2;
2024-01-31;19;262,6;27,3;
2024-02-29;22;283,6;26,8;
2024-03-31;29;773,6;26,3;
2024-04-30;28;478;26,4;
2024-05-31;30;317,6;26,7;
2024-06-30;26;195,6;26,5;
2024-07-31;17;88,6;27;
2024-08-31;6;43,6;27,2;
2024-09-30;0;0;27,8;
2024-10-31;null;null;null;

