Nome: ITAITUBA
Codigo Estacao: A231
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.46
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;28;289,6;26,7;
2020-02-29;23;349,4;26,4;
2020-03-31;18;377;27;
2020-04-30;29;350,8;26,7;
2020-05-31;24;318,8;26,9;
2020-06-30;16;68,6;27,8;
2020-07-31;8;36,2;28;
2020-08-31;5;16,4;28,8;
2020-09-30;2;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;15;293,8;26,5;
2022-07-31;13;40,8;27,8;
2022-08-31;14;86,2;27,9;
2022-09-30;6;29;28,8;
2022-10-31;14;181,6;27,8;
2022-11-30;10;100;27,6;
2022-12-31;25;206,2;26,9;
2023-01-31;25;469,4;25,5;
2023-02-28;20;171,8;26,6;
2023-03-31;27;248,6;26,5;
2023-04-30;22;268,4;26,9;
2023-05-31;22;352,8;27,5;
2023-06-30;15;87,6;27,5;
2023-07-31;10;49,4;28,2;
2023-08-31;12;75,8;29,1;
2023-09-30;5;45,2;29,9;
2023-10-31;6;52,2;30,4;
2023-11-30;10;66,6;29,8;
2023-12-31;23;380;28;
2024-01-31;24;356,4;27,6;
2024-02-29;16;183;27,9;
2024-03-31;22;253,4;27,5;
2024-04-30;24;309;27,3;
2024-05-31;24;263,8;28;
2024-06-30;8;38,2;28,4;
2024-07-31;4;15,2;28,6;
2024-08-31;9;31,4;28,8;
2024-09-30;6;58,6;30,4;
2024-10-31;4;null;null;

