Nome: OBIDOS
Codigo Estacao: A232
Latitude: -1.88083332
Longitude: -55.51972221
Altitude: 89.64
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;141,2;25,7;
2020-02-29;24;268,2;25,3;
2020-03-31;19;383;25,8;
2020-04-30;27;308,6;25,1;
2020-05-31;25;214,6;25,8;
2020-06-30;15;69,8;25,7;
2020-07-31;2;4,8;26,5;
2020-08-31;5;61,2;27,1;
2020-09-30;4;32,6;27,5;
2020-10-31;5;39,6;27,6;
2020-11-30;15;134,6;26,2;
2020-12-31;18;98,2;25,7;
2021-01-31;22;238,2;24,8;
2021-02-28;22;443,6;24,8;
2021-03-31;26;326,4;24,4;
2021-04-30;3;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;11;null;25,1;
2022-07-31;15;105,2;25,7;
2022-08-31;7;25,2;26,5;
2022-09-30;6;15,2;27,5;
2022-10-31;17;120;26,6;
2022-11-30;12;260,2;25,9;
2022-12-31;23;269,8;25,1;
2023-01-31;25;270,6;24,4;
2023-02-28;26;444,4;24,4;
2023-03-31;23;380,8;24,8;
2023-04-30;25;127,8;25,1;
2023-05-31;25;295,8;25,4;
2023-06-30;null;null;25,7;
2023-07-31;2;null;26,1;
2023-08-31;3;7,4;27,5;
2023-09-30;5;24,6;28;
2023-10-31;3;13,4;28,9;
2023-11-30;10;116;28,3;
2023-12-31;7;68,4;27,6;
2024-01-31;26;354,8;26,1;
2024-02-29;19;199,6;26,3;
2024-03-31;23;344,4;25,6;
2024-04-30;26;405,6;25,5;
2024-05-31;24;301,6;26;
2024-06-30;12;80,4;26;
2024-07-31;3;39,8;26,8;
2024-08-31;4;49,4;26,9;
2024-09-30;1;,6;28,3;
2024-10-31;3;null;null;

