Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.34055555
Longitude: -50.35027777
Altitude: 154
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;166,2;26,4;
2020-02-29;19;179,8;26,7;
2020-03-31;25;343,4;26,1;
2020-04-30;18;144,2;26,9;
2020-05-31;10;32,4;27,1;
2020-06-30;1;,2;26,6;
2020-07-31;0;0;25,9;
2020-08-31;1;4,6;27,8;
2020-09-30;3;12,2;29,1;
2020-10-31;11;107,2;28,8;
2020-11-30;16;214,6;27,5;
2020-12-31;18;274;26,8;
2021-01-31;21;200,2;26,1;
2021-02-28;18;null;25,4;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;8;null;null;
2021-12-31;6;null;25,7;
2022-01-31;null;null;26;
2022-02-28;null;null;26,1;
2022-03-31;null;null;25,8;
2022-04-30;null;null;27,2;
2022-05-31;null;null;26,7;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;10;53;27,3;
2023-06-30;1;,6;26,6;
2023-07-31;0;0;26,2;
2023-08-31;3;23,8;28,2;
2023-09-30;5;27,6;29,1;
2023-10-31;10;159;28,9;
2023-11-30;14;312,4;27,7;
2023-12-31;19;125,2;27,3;
2024-01-31;28;356,4;26,5;
2024-02-29;21;251,8;26,5;
2024-03-31;22;261,6;27,1;
2024-04-30;19;167,4;27,1;
2024-05-31;3;5,8;27,9;
2024-06-30;2;1,8;26,5;
2024-07-31;0;0;26,3;
2024-08-31;2;1,2;27,4;
2024-09-30;0;0;29,6;
2024-10-31;null;null;null;

