Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;26;438,2;26,4;
2020-02-29;28;370,4;26,2;
2020-03-31;23;383,4;26,2;
2020-04-30;26;519,4;26,4;
2020-05-31;27;210;27;
2020-06-30;12;28,4;27,1;
2020-07-31;2;6,4;27,3;
2020-08-31;4;34,8;27,5;
2020-09-30;5;8,2;28;
2020-10-31;5;17,6;28,3;
2020-11-30;18;286,8;26,4;
2020-12-31;15;190,2;27,6;
2021-01-31;25;454;27,4;
2021-02-28;19;425,2;27,4;
2021-03-31;29;695;27,4;
2021-04-30;23;329,8;27,5;
2021-05-31;18;265,8;27,4;
2021-06-30;12;77,6;27,4;
2021-07-31;7;56,8;27,7;
2021-08-31;3;2,6;27,9;
2021-09-30;null;null;28,7;
2021-10-31;null;null;29,6;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;2;null;null;
2022-06-30;10;131,2;25,9;
2022-07-31;4;6,4;26,5;
2022-08-31;2;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;15;null;26,8;
2024-05-31;20;110,8;27,3;
2024-06-30;2;17,2;27;
2024-07-31;2;25,4;26,5;
2024-08-31;2;12,2;26,9;
2024-09-30;0;0;28,2;
2024-10-31;1;null;null;

