Nome: CAXIAS
Codigo Estacao: A237
Latitude: -4.82138888
Longitude: -43.3436111
Altitude: 84.85
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;328,2;26,6;
2020-02-29;17;null;26,2;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;17;null;26,3;
2022-05-31;18;130,2;26,2;
2022-06-30;14;108,8;25,4;
2022-07-31;4;9,8;25,5;
2022-08-31;2;1,4;25,9;
2022-09-30;4;15,6;27,4;
2022-10-31;2;9,6;28,5;
2022-11-30;13;184,8;26,8;
2022-12-31;17;170,6;26,6;
2023-01-31;22;124,8;25,7;
2023-02-28;21;252,6;25,8;
2023-03-31;22;232,2;25,7;
2023-04-30;21;349,6;26,1;
2023-05-31;15;147,8;26,7;
2023-06-30;2;2;26,3;
2023-07-31;3;3,8;26;
2023-08-31;0;0;26,9;
2023-09-30;0;0;28,4;
2023-10-31;1;3;29,6;
2023-11-30;8;60,2;29,4;
2023-12-31;9;27,2;28,7;
2024-01-31;16;136,8;27,8;
2024-02-29;24;428,8;26,7;
2024-03-31;27;330;27;
2024-04-30;20;276,6;26,7;
2024-05-31;10;55,2;27,1;
2024-06-30;7;3;26,4;
2024-07-31;1;3,2;25,3;
2024-08-31;0;0;26;
2024-09-30;2;12,2;28,1;
2024-10-31;null;null;null;

