Nome: MONTE ALEGRE
Codigo Estacao: A239
Latitude: -2
Longitude: -54.07638888
Altitude: 100.53
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;133,8;26,7;
2020-02-29;19;248,6;26,6;
2020-03-31;18;379,4;26,8;
2020-04-30;26;381;26,3;
2020-05-31;20;226,2;27,2;
2020-06-30;17;99;27,2;
2020-07-31;5;2,4;28,1;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;1;null;null;
2023-04-30;1;null;null;
2023-05-31;12;null;27,4;
2023-06-30;13;53;27,3;
2023-07-31;5;null;27,7;
2023-08-31;null;null;29,4;
2023-09-30;2;34,6;29,7;
2023-10-31;1;null;29,9;
2023-11-30;4;null;29,7;
2023-12-31;5;null;28,9;
2024-01-31;11;null;27,8;
2024-02-29;3;null;null;
2024-03-31;9;null;null;
2024-04-30;4;null;null;
2024-05-31;25;310,4;27,5;
2024-06-30;6;null;null;
2024-07-31;null;null;null;
2024-08-31;2;null;null;
2024-09-30;null;null;29,9;
2024-10-31;null;null;null;

