Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;21;151,2;26,3;
2020-02-29;23;257,6;26;
2020-03-31;25;318,2;26;
2020-04-30;22;232,2;26,2;
2020-05-31;13;63,4;26,4;
2020-06-30;2;13,4;25,4;
2020-07-31;0;0;24,7;
2020-08-31;0;0;26,4;
2020-09-30;1;14;28,1;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;10;null;26;
2021-01-31;20;166,6;25,6;
2021-02-28;24;377,2;25,1;
2021-03-31;25;147;25,4;
2021-04-30;20;182,6;25,8;
2021-05-31;4;23;25,7;
2021-06-30;2;1,2;25,5;
2021-07-31;0;0;25,4;
2021-08-31;2;2,2;26,5;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;16;null;25,3;
2022-01-31;25;391,2;25,3;
2022-02-28;21;339,2;25,8;
2022-03-31;25;285;25,7;
2022-04-30;16;189;26;
2022-05-31;6;60,6;25,6;
2022-06-30;3;7;25,3;
2022-07-31;0;0;25,5;
2022-08-31;0;0;26,6;
2022-09-30;3;17,8;28,1;
2022-10-31;7;128,8;27,8;
2022-11-30;22;425,6;25,5;
2022-12-31;24;295;25,4;
2023-01-31;23;208,8;25,3;
2023-02-28;23;216,4;25,7;
2023-03-31;13;null;25,7;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;1;null;25,8;
2023-07-31;0;0;25,5;
2023-08-31;5;44,8;27,2;
2023-09-30;5;29;28,1;
2023-10-31;14;64;28,3;
2023-11-30;14;141,2;27,2;
2023-12-31;19;143;26,9;
2024-01-31;20;246,8;26,4;
2024-02-29;19;185,8;26,5;
2024-03-31;20;133,4;27;
2024-04-30;25;392,4;26,5;
2024-05-31;9;14,6;26,9;
2024-06-30;0;0;25,9;
2024-07-31;0;0;25,6;
2024-08-31;1;15;26,8;
2024-09-30;2;13;28,5;
2024-10-31;2;null;null;

