Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;30;365,8;25,3;
2020-02-29;29;515,4;25,2;
2020-03-31;29;480,2;25,5;
2020-04-30;27;353;25,4;
2020-05-31;29;428;25,8;
2020-06-30;21;196,4;25,9;
2020-07-31;20;51,6;26;
2020-08-31;3;null;null;
2020-09-30;14;61,4;26,8;
2020-10-31;17;65,4;26,7;
2020-11-30;25;200,4;26;
2020-12-31;22;157,8;26;
2021-01-31;10;76,8;25,6;
2021-02-28;24;295,4;25,3;
2021-03-31;31;381,4;24,9;
2021-04-30;26;261;25,4;
2021-05-31;26;248,8;25,9;
2021-06-30;22;97,2;25,7;
2021-07-31;20;null;25,6;
2021-08-31;21;150,2;26;
2021-09-30;15;null;25,9;
2021-10-31;4;null;null;
2021-11-30;4;null;null;
2021-12-31;13;null;26,2;
2022-01-31;27;334,6;25;
2022-02-28;24;303,6;25,6;
2022-03-31;29;360,8;25;
2022-04-30;29;380,2;25,2;
2022-05-31;30;608,8;25,2;
2022-06-30;3;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;8;null;null;
2023-07-31;22;272,2;25,9;
2023-08-31;13;73,8;26,5;
2023-09-30;11;44,8;27,2;
2023-10-31;9;60,6;27,6;
2023-11-30;7;37;27,8;
2023-12-31;21;148,8;26,8;
2024-01-31;25;264,2;26,3;
2024-02-29;27;352,6;25,8;
2024-03-31;30;488,4;26;
2024-04-30;7;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;10;null;27;
2024-09-30;1;null;null;
2024-10-31;null;null;null;

