Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;27;241,2;26,3;
2020-02-29;21;235,4;26,3;
2020-03-31;22;248,4;26,4;
2020-04-30;27;501,8;26,5;
2020-05-31;22;361,2;27,1;
2020-06-30;26;256,2;27;
2020-07-31;18;69;27,5;
2020-08-31;15;70,2;28,4;
2020-09-30;10;57,8;28,5;
2020-10-31;1;,2;29,1;
2020-11-30;21;395,6;27,6;
2020-12-31;17;102,2;27,5;
2021-01-31;21;null;26,5;
2021-02-28;25;331,8;25,8;
2021-03-31;23;323,4;26,1;
2021-04-30;26;269,8;26,4;
2021-05-31;22;425,4;26,4;
2021-06-30;10;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;25;416,6;26,4;
2022-05-31;28;300,2;26,3;
2022-06-30;19;281,4;26,7;
2022-07-31;23;247,6;26,9;
2022-08-31;13;70,4;27,9;
2022-09-30;4;50,8;28,6;
2022-10-31;4;12,2;28,9;
2022-11-30;9;81,6;27,9;
2022-12-31;17;143,4;26,7;
2023-01-31;22;216,2;26,1;
2023-02-28;21;235;25,8;
2023-03-31;26;297,8;26;
2023-04-30;18;283,8;26,8;
2023-05-31;27;214,2;27,2;
2023-06-30;22;196,8;27,5;
2023-07-31;21;185,8;27,8;
2023-08-31;8;53,6;28,7;
2023-09-30;4;26,2;29,2;
2023-10-31;1;14;29,4;
2023-11-30;4;28,2;29,4;
2023-12-31;16;179,6;28,2;
2024-01-31;19;171,2;27,3;
2024-02-29;18;366;27,4;
2024-03-31;28;314,8;27,1;
2024-04-30;21;310,4;27,5;
2024-05-31;26;398,2;27,6;
2024-06-30;24;273,4;27,6;
2024-07-31;19;128,4;27,9;
2024-08-31;10;40,2;28,8;
2024-09-30;0;0;29,2;
2024-10-31;2;null;null;

