Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;27;175;25,4;
2020-02-29;null;null;25,4;
2020-03-31;null;null;25,1;
2020-04-30;null;null;25,3;
2020-05-31;null;null;26,5;
2020-06-30;4;13,6;26,2;
2020-07-31;1;4;26,3;
2020-08-31;0;0;26,7;
2020-09-30;0;0;27,3;
2020-10-31;3;9,4;27,5;
2020-11-30;12;312;26,1;
2020-12-31;6;48,2;25,9;
2021-01-31;20;219,8;25,1;
2021-02-28;21;318,8;25,2;
2021-03-31;26;527,4;24,7;
2021-04-30;17;194,8;25,5;
2021-05-31;10;37,2;25,8;
2021-06-30;11;68,6;25,2;
2021-07-31;6;19,2;25,8;
2021-08-31;8;36,2;26,4;
2021-09-30;6;20,8;26,4;
2021-10-31;14;142;26,5;
2021-11-30;12;94,2;26,3;
2021-12-31;12;null;null;
2022-01-31;4;null;null;
2022-02-28;22;142;25,1;
2022-03-31;25;476;24,9;
2022-04-30;24;185,4;25,4;
2022-05-31;10;79;25,5;
2022-06-30;10;70,8;25,3;
2022-07-31;1;1,2;26,5;
2022-08-31;3;11,2;26,2;
2022-09-30;4;4,4;26,9;
2022-10-31;2;2;27,6;
2022-11-30;10;217,2;26,1;
2022-12-31;10;105;25,6;
2023-01-31;15;159,4;25;
2023-02-28;21;434,2;24,9;
2023-03-31;27;453,4;24,8;
2023-04-30;22;317,8;25,4;
2023-05-31;12;192,4;26,2;
2023-06-30;5;5,6;26,3;
2023-07-31;0;0;26,5;
2023-08-31;0;0;26,9;
2023-09-30;1;,2;27,8;
2023-10-31;4;14,8;28;
2023-11-30;5;47;27,7;
2023-12-31;16;184;26,8;
2024-01-31;16;142,6;26,4;
2024-02-29;19;198,8;25,5;
2024-03-31;17;287,2;26;
2024-04-30;19;298;25,9;
2024-05-31;8;11,4;27,1;
2024-06-30;2;2,2;27,3;
2024-07-31;2;6,8;26,9;
2024-08-31;0;0;27,3;
2024-09-30;0;0;28,1;
2024-10-31;null;null;null;

