Nome: REDENCAO
Codigo Estacao: A254
Latitude: -8.04333333
Longitude: -50.00694444
Altitude: 199
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;326,2;26,4;
2020-02-29;23;377,8;26,1;
2020-03-31;23;398,6;26,1;
2020-04-30;16;162,2;26,6;
2020-05-31;11;165,6;27;
2020-06-30;1;16;27,1;
2020-07-31;0;0;27,3;
2020-08-31;1;1,4;29;
2020-09-30;3;70;29,9;
2020-10-31;7;103,8;28,5;
2020-11-30;14;163,6;27,4;
2020-12-31;17;261,4;26,6;
2021-01-31;17;null;26,3;
2021-02-28;23;430,4;25,3;
2021-03-31;24;400,8;25,5;
2021-04-30;14;166,4;26,4;
2021-05-31;8;19,4;27;
2021-06-30;1;4,2;27,4;
2021-07-31;0;0;27,7;
2021-08-31;1;6,8;29,1;
2021-09-30;12;89,6;28,3;
2021-10-31;20;157;26,8;
2021-11-30;21;164;26;
2021-12-31;20;250,6;25,9;
2022-01-31;21;209,2;25,5;
2022-02-28;16;null;26,2;
2022-03-31;28;398,4;26;
2022-04-30;18;164;26,9;
2022-05-31;4;52,6;26,8;
2022-06-30;1;2;27,4;
2022-07-31;1;1,8;28,1;
2022-08-31;0;0;28,9;
2022-09-30;5;21;29,7;
2022-10-31;4;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;9;null;27,5;
2023-06-30;0;0;28,2;
2023-07-31;0;0;28,2;
2023-08-31;3;11,6;29,4;
2023-09-30;6;35,6;29,6;
2023-10-31;10;122,6;29,3;
2023-11-30;13;150,8;27,8;
2023-12-31;11;null;27,5;
2024-01-31;21;364,2;26,7;
2024-02-29;16;204,6;27,1;
2024-03-31;18;317,4;27,4;
2024-04-30;19;225,8;27;
2024-05-31;4;38,8;28,4;
2024-06-30;0;0;28,5;
2024-07-31;0;0;28,4;
2024-08-31;1;30,6;29,2;
2024-09-30;2;11,2;30,7;
2024-10-31;2;null;null;

