Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;30;485,4;26,1;
2020-02-29;22;318,2;26,3;
2020-03-31;26;178,8;26,5;
2020-04-30;25;393,2;26,5;
2020-05-31;17;204,6;27,5;
2020-06-30;9;43,8;27,4;
2020-07-31;2;9;27,4;
2020-08-31;0;0;27,8;
2020-09-30;4;10,8;28,3;
2020-10-31;3;21,6;28,7;
2020-11-30;20;155,4;27,4;
2020-12-31;13;129;27,2;
2021-01-31;17;null;26,7;
2021-02-28;20;452,6;26,1;
2021-03-31;27;411,8;25,9;
2021-04-30;20;282,2;27,1;
2021-05-31;16;195,6;27,2;
2021-06-30;10;98,2;26,8;
2021-07-31;12;86,8;26,7;
2021-08-31;6;37;27;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;15;null;26,4;
2022-05-31;20;164,8;26,6;
2022-06-30;10;166,8;27;
2022-07-31;7;20;27;
2022-08-31;4;8,6;27,6;
2022-09-30;2;16,6;28,1;
2022-10-31;4;53,2;28,5;
2022-11-30;14;149;27,5;
2022-12-31;13;127,8;27,2;
2023-01-31;24;220,4;26,2;
2023-02-28;17;null;26,3;
2023-03-31;26;620;26,2;
2023-04-30;20;437,2;26,9;
2023-05-31;15;60,4;27,6;
2023-06-30;9;53,4;27,5;
2023-07-31;2;7;27,8;
2023-08-31;3;9;28,2;
2023-09-30;0;0;29;
2023-10-31;2;2,4;29,1;
2023-11-30;2;4;29,5;
2023-12-31;9;68;28,9;
2024-01-31;19;184,8;27,5;
2024-02-29;24;390;26,7;
2024-03-31;27;388,6;27,3;
2024-04-30;21;442,2;27,1;
2024-05-31;20;268,8;28;
2024-06-30;9;45,2;27,8;
2024-07-31;4;16,4;27,5;
2024-08-31;2;1;28,1;
2024-09-30;1;,6;28,7;
2024-10-31;null;null;null;

