Nome: RECIFE
Codigo Estacao: A301
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Desativada
Data Inicial: 2020-01-01
Data Final: 2021-11-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;58,6;27,9;
2020-02-29;22;88,6;27,9;
2020-03-31;19;157,8;27,6;
2020-04-30;22;245;26,8;
2020-05-31;29;255,6;26;
2020-06-30;28;295,6;25,1;
2020-07-31;28;204;24,3;
2020-08-31;21;119,4;24,3;
2020-09-30;18;70,8;25,1;
2020-10-31;12;25,2;26,4;
2020-11-30;17;61,6;27,3;
2020-12-31;23;73;27,3;
2021-01-31;18;54,8;27,2;
2021-02-28;15;119,8;27,3;
2021-03-31;25;222,2;26,7;
2021-04-30;22;420;26;
2021-05-31;25;535,4;25,1;
2021-06-30;25;193,8;24,2;
2021-07-31;27;264,6;24,1;
2021-08-31;29;309;24;
2021-09-30;20;50;25,5;
2021-10-31;23;46,2;26,6;
2021-11-30;5;null;null;

