Nome: ARQ.SAO PEDRO E SAO PAULO
Codigo Estacao: A302
Latitude: 0.91694443
Longitude: -29.34583333
Altitude: 15
Situacao: Desativada
Data Inicial: 2020-01-01
Data Final: 2021-04-25
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;210,6;27,8;
2020-02-29;20;369,2;28;
2020-03-31;21;329,2;27,9;
2020-04-30;17;104,6;28,5;
2020-05-31;7;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;

