Nome: FORTALEZA
Codigo Estacao: A305
Latitude: -3.81583333
Longitude: -38.53777777
Altitude: 29.55
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;178;27,6;
2020-02-29;26;370,4;27;
2020-03-31;27;392,2;27,2;
2020-04-30;27;455,4;27;
2020-05-31;23;294,4;27;
2020-06-30;19;101,8;26,5;
2020-07-31;9;63,6;26,3;
2020-08-31;3;1;26,8;
2020-09-30;6;6,6;27,2;
2020-10-31;7;18;27,8;
2020-11-30;11;18,6;28,3;
2020-12-31;16;27,2;28,3;
2021-01-31;22;121,8;27,9;
2021-02-28;17;67,8;27,8;
2021-03-31;26;411;26,7;
2021-04-30;21;150;27,4;
2021-05-31;21;235;26,5;
2021-06-30;12;92,2;27,1;
2021-07-31;8;35,8;27;
2021-08-31;4;2,2;27,5;
2021-09-30;4;3,2;27,9;
2021-10-31;9;null;28,2;
2021-11-30;1;null;null;
2021-12-31;15;31,4;28,7;
2022-01-31;26;250,6;26,9;
2022-02-28;22;146,2;27,7;
2022-03-31;29;594,8;26,5;
2022-04-30;27;481,2;26,5;
2022-05-31;24;274,4;26,3;
2022-06-30;18;185,4;25,9;
2022-07-31;10;110,2;26,2;
2022-08-31;null;null;26,6;
2022-09-30;10;7;27,2;
2022-10-31;10;9;27,8;
2022-11-30;13;25,8;27,7;
2022-12-31;9;19;27,9;
2023-01-31;21;227,6;27,3;
2023-02-28;25;300,2;27,1;
2023-03-31;28;353,4;26,6;
2023-04-30;25;263,6;26,3;
2023-05-31;24;169,4;27,3;
2023-06-30;19;62,2;27,1;
2023-07-31;5;23,6;27,1;
2023-08-31;10;14,2;27,4;
2023-09-30;6;5,4;27,7;
2023-10-31;7;4,2;28;
2023-11-30;9;45,8;28,4;
2023-12-31;17;50,2;28,4;
2024-01-31;16;28,8;28,7;
2024-02-29;22;487,8;27,9;
2024-03-31;25;355;27,4;
2024-04-30;12;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

