Nome: PETROLINA
Codigo Estacao: A307
Latitude: -9.38833333
Longitude: -40.52333332
Altitude: 372.72
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;106,4;28,1;
2020-02-29;2;20;28,2;
2020-03-31;18;110,4;27,5;
2020-04-30;10;76,2;27;
2020-05-31;4;6,4;26,3;
2020-06-30;8;16,8;24,7;
2020-07-31;3;5,2;24,2;
2020-08-31;2;4,4;24,8;
2020-09-30;1;,2;26,6;
2020-10-31;2;1;29,2;
2020-11-30;8;150;26,9;
2020-12-31;0;0;28,5;
2021-01-31;4;58,8;28,1;
2021-02-28;6;74;27,8;
2021-03-31;2;6,2;28,8;
2021-04-30;3;61,6;27,6;
2021-05-31;1;,2;25,6;
2021-06-30;4;3,8;25,4;
2021-07-31;4;1,8;24,5;
2021-08-31;1;,2;24,8;
2021-09-30;0;0;27,6;
2021-10-31;3;45,2;28,9;
2021-11-30;7;80;27,5;
2021-12-31;14;182,4;26,6;
2022-01-31;14;53,8;26,4;
2022-02-28;7;49,6;27,6;
2022-03-31;12;23,2;27,3;
2022-04-30;4;51,4;27,6;
2022-05-31;4;23,6;26;
2022-06-30;6;7,2;24,9;
2022-07-31;9;11,2;24,2;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;8;69,2;26,5;
2023-06-30;2;2,6;25;
2023-07-31;0;0;25,4;
2023-08-31;1;1,8;26,5;
2023-09-30;0;0;27,9;
2023-10-31;0;0;29,6;
2023-11-30;4;58,8;29,8;
2023-12-31;2;21,8;29,4;
2024-01-31;4;null;null;
2024-02-29;1;null;null;
2024-03-31;null;null;null;
2024-04-30;6;9,6;27,7;
2024-05-31;2;null;26,8;
2024-06-30;null;null;null;
2024-07-31;1;null;null;
2024-08-31;2;null;25,6;
2024-09-30;null;null;26,9;
2024-10-31;null;null;null;

