Nome: PARNAIBA
Codigo Estacao: A308
Latitude: -3.08666666
Longitude: -41.78305554
Altitude: 52.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;227,8;26,7;
2020-02-29;23;161,6;26,2;
2020-03-31;25;433;26,3;
2020-04-30;26;343,6;26,1;
2020-05-31;10;null;26,7;
2020-06-30;5;null;26,3;
2020-07-31;3;21,8;26,2;
2020-08-31;1;2,2;26,7;
2020-09-30;0;0;27,6;
2020-10-31;0;0;28,1;
2020-11-30;1;97,2;28;
2020-12-31;0;0;28;
2021-01-31;12;91,6;27,2;
2021-02-28;19;131,8;26,6;
2021-03-31;22;261,6;25,7;
2021-04-30;13;166,6;26,6;
2021-05-31;2;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;3;13,6;26,8;
2021-09-30;1;1;null;
2021-10-31;1;null;28,5;
2021-11-30;null;null;null;
2021-12-31;2;null;null;
2022-01-31;4;null;null;
2022-02-28;null;null;26,9;
2022-03-31;null;null;25,8;
2022-04-30;null;null;25,7;
2022-05-31;null;null;25,8;
2022-06-30;null;null;25,8;
2022-07-31;null;null;26,3;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;3;18,4;27,7;
2022-12-31;3;76,4;27,7;
2023-01-31;16;149,6;26,6;
2023-02-28;21;139,8;26,1;
2023-03-31;23;220,4;25,6;
2023-04-30;21;304,8;25,9;
2023-05-31;9;81,4;26,9;
2023-06-30;9;72;26,7;
2023-07-31;1;6,4;26,9;
2023-08-31;1;2,2;27,3;
2023-09-30;0;0;28,3;
2023-10-31;0;0;28,4;
2023-11-30;1;12,4;28,5;
2023-12-31;5;39;28,8;
2024-01-31;7;31,4;null;
2024-02-29;20;358,4;null;
2024-03-31;21;263,4;null;
2024-04-30;25;266,4;null;
2024-05-31;10;110,2;null;
2024-06-30;8;72,2;26,7;
2024-07-31;3;13;26,2;
2024-08-31;1;5,6;26,7;
2024-09-30;0;0;27,8;
2024-10-31;1;null;null;

