Nome: AREIA
Codigo Estacao: A310
Latitude: -6.975451
Longitude: -35.718128
Altitude: 573.45
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;19,2;24,5;
2020-02-29;14;24,6;24,8;
2020-03-31;19;186;24,2;
2020-04-30;17;148;23,7;
2020-05-31;23;152,2;22,7;
2020-06-30;21;156,6;21,4;
2020-07-31;19;190,4;20,5;
2020-08-31;13;24,8;20,9;
2020-09-30;11;78,8;21,4;
2020-10-31;8;28,2;22,9;
2020-11-30;12;49,2;23,3;
2020-12-31;11;8,6;23,5;
2021-01-31;8;6;23,8;
2021-02-28;10;64;24;
2021-03-31;17;106,2;23,5;
2021-04-30;21;164,4;23,1;
2021-05-31;21;161,2;21,8;
2021-06-30;15;49;21,5;
2021-07-31;19;101,2;21,1;
2021-08-31;23;138;20,6;
2021-09-30;11;16,6;22,4;
2021-10-31;15;34;23,4;
2021-11-30;7;4,2;24,4;
2021-12-31;17;109,2;24;
2022-01-31;17;68,2;23,7;
2022-02-28;12;53;24;
2022-03-31;19;371,8;23,6;
2022-04-30;16;139,2;23,1;
2022-05-31;23;299,4;22,2;
2022-06-30;22;238,4;21,1;
2022-07-31;22;313,4;20,4;
2022-08-31;16;78,4;20,3;
2022-09-30;8;45,4;21,2;
2022-10-31;7;18,2;22,6;
2022-11-30;9;43,6;23,1;
2022-12-31;9;25,8;23,5;
2023-01-31;16;115;23,2;
2023-02-28;12;112,2;23,7;
2023-03-31;13;131,6;23,2;
2023-04-30;21;104;23,2;
2023-05-31;16;139,6;22,9;
2023-06-30;23;286,2;21,4;
2023-07-31;17;129,4;21,2;
2023-08-31;18;133;21,2;
2023-09-30;16;120;21,4;
2023-10-31;10;12,6;22,7;
2023-11-30;12;56;23,5;
2023-12-31;10;53,4;23,6;
2024-01-31;13;96,8;24,2;
2024-02-29;21;154,4;24,3;
2024-03-31;20;180,4;24,4;
2024-04-30;20;113,6;24;
2024-05-31;18;85;22,8;
2024-06-30;22;284;21,3;
2024-07-31;24;163,2;20,2;
2024-08-31;12;33;20,7;
2024-09-30;11;35,2;21,4;
2024-10-31;null;null;null;

