Nome: FLORIANO
Codigo Estacao: A311
Latitude: -6.76138888
Longitude: -43.00333333
Altitude: 126.39
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;26,9;
2020-02-29;null;null;26,9;
2020-03-31;null;null;26,6;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;1;null;32;
2021-10-31;13;91;30,3;
2021-11-30;19;212,4;27,4;
2021-12-31;23;285,4;26,7;
2022-01-31;21;188;26,1;
2022-02-28;18;300,8;26,6;
2022-03-31;2;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;3;null;27;
2022-07-31;null;null;27,8;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;12;null;25,9;
2023-04-30;13;54,6;26,7;
2023-05-31;11;103,6;27,3;
2023-06-30;2;5;27,5;
2023-07-31;0;0;28,5;
2023-08-31;1;,2;30,3;
2023-09-30;0;0;31,9;
2023-10-31;4;2,2;32,3;
2023-11-30;7;200,6;29,9;
2023-12-31;null;null;28,6;
2024-01-31;19;193;27,7;
2024-02-29;12;201,8;27,3;
2024-03-31;22;288,4;27,4;
2024-04-30;4;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

