Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;44,4;25,7;
2020-02-29;11;19;26;
2020-03-31;13;131,6;25,3;
2020-04-30;17;59,6;25;
2020-05-31;17;85,8;24;
2020-06-30;21;120,4;22,5;
2020-07-31;18;105,6;21,6;
2020-08-31;13;14,8;22,3;
2020-09-30;10;31,6;22,7;
2020-10-31;3;1,8;24,4;
2020-11-30;7;23,6;24,7;
2020-12-31;11;25,8;24,6;
2021-01-31;4;2,8;25;
2021-02-28;7;21,6;25,3;
2021-03-31;11;79,2;24,7;
2021-04-30;15;77,2;24,3;
2021-05-31;18;92,4;23,1;
2021-06-30;15;34;22,8;
2021-07-31;16;53,2;22,3;
2021-08-31;22;51,8;21,8;
2021-09-30;4;2,8;23,9;
2021-10-31;4;8,8;24,8;
2021-11-30;0;0;25,6;
2021-12-31;11;60;25,2;
2022-01-31;12;60,2;25;
2022-02-28;8;18,4;25,4;
2022-03-31;18;206;24,8;
2022-04-30;16;77,6;24,4;
2022-05-31;20;229;23,4;
2022-06-30;23;128,6;22,1;
2022-07-31;23;152,6;21,4;
2022-08-31;18;55,4;21,5;
2022-09-30;6;12,2;22,6;
2022-10-31;7;6,2;23,9;
2022-11-30;9;40;24,3;
2022-12-31;12;39,8;24,6;
2023-01-31;10;37,6;24,4;
2023-02-28;4;48,4;25,1;
2023-03-31;11;104,4;24,5;
2023-04-30;17;62;24,4;
2023-05-31;18;104,8;24,1;
2023-06-30;26;195,6;22,5;
2023-07-31;16;46;22,3;
2023-08-31;16;57,4;22,4;
2023-09-30;15;38,8;22,9;
2023-10-31;8;10,8;24,2;
2023-11-30;5;52;25;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;16;null;25,2;
2024-05-31;15;105,2;24,3;
2024-06-30;23;159,2;22,8;
2024-07-31;24;89,2;21,8;
2024-08-31;10;15;22,3;
2024-09-30;6;25,4;22,8;
2024-10-31;null;null;null;

